DateTime,Day,Holiday
2017-01-01,7,1
2017-01-02,1,1
2017-01-28,6,2
2017-01-29,7,2
2017-04-14,5,3
2017-05-01,1,4
2017-05-10,3,5
2017-06-25,7,6
2017-06-26,1,6
2017-08-09,3,7
2017-09-01,5,8
2017-10-18,3,9
2017-12-25,1,10
2018-01-01,1,1
2018-02-18,5,2
2018-02-17,6,2
2018-03-30,5,3
2018-05-01,2,4
2018-05-29,2,5
2018-06-15,5,6
2018-08-09,2,7
2018-08-22,3,8
2018-11-06,2,9
2018-12-25,2,10
2019-12-25,3,10
2019-10-28,1,9
2019-10-27,7,9
2019-08-12,1,8
2019-08-11,7,8
2019-08-09,5,7
2019-06-05,3,6
2019-05-20,1,5
2019-05-19,7,5
2019-05-01,3,4
2019-04-19,5,3
2019-02-06,3,2
2019-02-05,2,2
2019-01-01,2,1
