Year,Month,Day,Unnamed: 0,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,1,1,0.0,0.0,0.0,0.0,0.0,26.7,29.2,24.833333333333332,7.733333333333333,27.366666666666664
2014,1,2,1.0,0.0,0.0,0.0,0.0,27.3,31.099999999999998,24.933333333333334,8.833333333333334,31.2
2014,1,3,2.0,22.133333333333336,13.066666666666668,17.0,20.266666666666666,26.666666666666668,30.566666666666666,24.333333333333332,7.599999999999999,45.0
2014,1,4,3.0,6.133333333333333,3.1999999999999997,5.2,6.133333333333333,26.666666666666668,30.900000000000002,24.566666666666666,5.766666666666667,26.96666666666667
2014,1,5,4.0,8.733333333333333,3.533333333333333,4.866666666666666,7.066666666666666,24.933333333333334,26.333333333333332,23.5,6.2,24.0
2014,1,6,5.0,30.8,7.6000000000000005,9.0,11.666666666666666,25.166666666666668,26.866666666666664,23.46666666666667,4.933333333333333,38.63333333333333
2014,1,7,6.0,2.3333333333333335,2.2666666666666666,2.2666666666666666,2.2666666666666666,26.566666666666666,30.833333333333332,24.333333333333332,6.633333333333333,27.5
2014,1,8,7.0,0.0,0.0,0.0,0.0,27.233333333333334,31.599999999999998,24.633333333333336,7.7,30.599999999999998
2014,1,9,8.0,4.6000000000000005,3.266666666666667,4.066666666666666,4.333333333333333,25.866666666666664,28.566666666666666,24.366666666666664,4.8999999999999995,26.066666666666666
2014,1,10,9.0,0.0,0.0,0.0,0.0,26.933333333333334,30.933333333333334,24.3,5.633333333333333,19.2
2014,1,11,10.0,2.6666666666666665,2.5333333333333337,2.6,2.6,26.733333333333334,31.599999999999998,24.066666666666666,8.366666666666667,33.03333333333333
2014,1,12,11.0,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,26.233333333333334,28.933333333333334,24.46666666666667,8.200000000000001,32.86666666666667
2014,1,13,12.0,0.0,0.0,0.0,0.0,26.866666666666664,30.2,25.066666666666666,10.733333333333334,35.766666666666666
2014,1,14,13.0,0.0,0.0,0.0,0.0,26.5,29.633333333333336,24.266666666666666,9.266666666666667,33.833333333333336
2014,1,15,14.0,0.0,0.0,0.0,0.0,25.900000000000002,28.633333333333336,24.3,10.0,31.900000000000002
2014,1,16,15.0,0.0,0.0,0.0,0.0,26.066666666666666,29.099999999999998,24.03333333333333,10.566666666666668,31.8
2014,1,17,16.0,0.0,0.0,0.0,0.0,26.0,29.3,23.8,10.5,33.13333333333333
2014,1,18,17.0,0.0,0.0,0.0,0.0,26.066666666666666,29.066666666666666,24.03333333333333,11.0,35.43333333333334
2014,1,19,18.0,0.0,0.0,0.0,0.0,25.933333333333334,29.400000000000002,23.53333333333333,9.533333333333333,31.8
2014,1,20,19.0,0.0,0.0,0.0,0.0,25.8,29.233333333333334,23.7,10.033333333333333,34.699999999999996
2014,1,21,20.0,0.0,0.0,0.0,0.0,25.8,29.5,23.666666666666668,10.200000000000001,34.93333333333333
2014,1,22,21.0,0.0,0.0,0.0,0.0,25.53333333333333,28.633333333333336,23.266666666666666,9.733333333333334,31.433333333333334
2014,1,23,22.0,0.0,0.0,0.0,0.0,25.833333333333332,29.53333333333333,23.5,10.266666666666666,33.6
2014,1,24,23.0,0.0,0.0,0.0,0.0,25.733333333333334,28.53333333333333,23.7,10.5,33.0
2014,1,25,24.0,0.0,0.0,0.0,0.0,25.833333333333332,29.366666666666664,23.566666666666666,9.266666666666667,28.666666666666668
2014,1,26,25.0,0.0,0.0,0.0,0.0,25.666666666666668,29.633333333333336,22.866666666666664,9.4,29.53333333333333
2014,1,27,26.0,0.0,0.0,0.0,0.0,25.866666666666664,29.933333333333334,23.400000000000002,10.933333333333332,33.1
2014,1,28,27.0,0.0,0.0,0.0,0.0,26.566666666666666,30.433333333333337,24.3,11.133333333333333,36.36666666666667
2014,1,29,28.0,0.0,0.0,0.0,0.0,26.599999999999998,30.933333333333334,23.96666666666667,11.366666666666667,37.3
2014,1,30,29.0,0.0,0.0,0.0,0.0,26.03333333333333,31.03333333333333,22.8,9.966666666666667,36.233333333333334
2014,1,31,30.0,0.0,0.0,0.0,0.0,26.400000000000002,31.0,23.333333333333332,10.766666666666666,32.766666666666666
2014,2,1,31.0,0.0,0.0,0.0,0.0,26.0,31.96666666666667,22.566666666666666,9.4,30.233333333333334
2014,2,2,32.0,0.0,0.0,0.0,0.0,25.766666666666666,30.566666666666666,22.866666666666664,8.866666666666667,29.600000000000005
2014,2,3,33.0,0.0,0.0,0.0,0.0,26.400000000000002,31.433333333333334,23.3,8.266666666666667,26.733333333333334
2014,2,4,34.0,0.0,0.0,0.0,0.0,26.566666666666666,31.46666666666667,23.53333333333333,8.933333333333334,27.7
