DateTime,Europe(EUR) / gram
1979-01-31,144.8
1979-02-28,154.6
1979-03-30,148.0
1979-04-30,152.8
1979-05-31,172.0
1979-06-29,169.0
1979-07-31,179.7
1979-08-31,190.4
1979-09-28,233.2
1979-10-31,231.5
1979-11-30,244.9
1979-12-31,299.1
1980-01-31,385.0
1980-02-29,381.5
1980-03-31,321.6
1980-04-30,317.3
1980-05-30,323.1
1980-06-30,392.7
1980-07-31,372.4
1980-08-29,386.5
1980-09-30,412.8
1980-10-31,404.9
1980-11-28,406.7
1980-12-31,392.4
1981-01-30,363.3
1981-02-27,358.0
1981-03-31,375.1
1981-04-30,369.7
1981-05-29,386.1
1981-06-30,353.4
1981-07-31,346.9
1981-08-31,362.5
1981-09-30,349.9
1981-10-30,347.0
1981-11-30,332.9
1981-12-31,327.5
1982-01-29,327.9
1982-02-26,308.9
1982-03-31,285.7
1982-04-30,318.8
1982-05-31,284.8
1982-06-30,301.0
1982-07-30,315.2
1982-08-31,388.3
1982-09-30,383.4
1982-10-29,416.8
1982-11-30,423.2
1982-12-31,429.9
1983-01-31,486.1
1983-02-28,394.4
1983-03-31,410.9
1983-04-29,430.9
1983-05-31,447.3
1983-06-30,431.7
1983-07-29,456.5
1983-08-31,452.9
1983-09-30,440.9
1983-10-31,416.5
1983-11-30,451.5
1983-12-30,432.0
1984-01-31,436.2
1984-02-29,428.6
1984-03-30,421.4
1984-04-30,425.2
1984-05-31,437.2
1984-06-29,431.9
1984-07-31,412.7
1984-08-31,419.4
1984-09-28,436.4
1984-10-31,421.4
1984-11-30,423.7
1984-12-31,402.5
1985-01-31,402.8
1985-02-28,400.5
1985-03-29,425.7
1985-04-30,417.9
1985-05-31,403.4
1985-06-28,405.0
1985-07-31,393.6
1985-08-30,400.0
1985-09-30,375.9
1985-10-31,366.6
1985-11-29,353.9
1985-12-31,347.5
1986-01-31,364.1
1986-02-28,328.6
1986-03-31,348.0
1986-04-30,329.6
1986-05-30,351.0
1986-06-30,336.2
1986-07-31,332.2
1986-08-29,349.5
1986-09-30,383.6
1986-10-31,369.8
1986-11-28,345.5
1986-12-31,337.8
1987-01-30,334.8
1987-02-27,338.0
1987-03-31,346.7
1987-04-30,371.8
1987-05-29,375.9
1987-06-30,373.3
1987-07-31,391.9
1987-08-31,374.3
1987-09-30,384.7
1987-10-30,372.2
1987-11-30,372.0
1987-12-31,351.8
1988-01-29,352.9
1988-02-29,330.5
1988-03-31,347.7
1988-04-29,345.6
1988-05-31,360.8
1988-06-30,364.4
1988-07-29,374.6
1988-08-31,369.1
1988-09-30,341.8
1988-10-31,337.9
1988-11-30,336.6
1988-12-30,332.7
1989-01-31,335.7
1989-02-28,321.6
1989-03-31,329.4
1989-04-28,321.8
1989-05-31,324.6
1989-06-30,330.9
1989-07-31,310.9
1989-08-31,318.1
1989-09-29,312.4
1989-10-31,315.2
1989-11-30,332.9
1989-12-29,310.7
1990-01-31,321.3
1990-02-28,316.2
1990-03-30,283.9
1990-04-30,280.7
1990-05-31,280.2
1990-06-29,265.9
1990-07-31,267.8
1990-08-31,278.0
1990-09-28,291.9
1990-10-31,262.6
1990-11-30,264.8
1990-12-31,265.7
1991-01-31,251.1
1991-02-28,256.1
1991-03-29,279.8
1991-04-30,282.5
1991-05-31,288.9
1991-06-28,308.5
1991-07-31,292.9
1991-08-30,280.8
1991-09-30,273.6
1991-10-31,276.7
1991-11-29,277.9
1991-12-31,250.3
1992-01-31,264.7
1992-02-28,269.0
1992-03-31,261.7
1992-04-30,258.0
1992-05-29,251.3
1992-06-30,243.1
1992-07-31,246.8
1992-08-31,224.5
1992-09-30,241.3
1992-10-30,255.0
1992-11-30,261.4
1992-12-31,266.7
