,DateTime,Europe(EUR)
0,1979-01-31,144.8
1,1979-02-28,154.6
2,1979-03-30,148.0
3,1979-04-30,152.8
4,1979-05-31,172.0
5,1979-06-29,169.0
6,1979-07-31,179.7
7,1979-08-31,190.4
8,1979-09-28,233.2
9,1979-10-31,231.5
10,1979-11-30,244.9
11,1979-12-31,299.1
12,1980-01-31,385.0
13,1980-02-29,381.5
14,1980-03-31,321.6
15,1980-04-30,317.3
16,1980-05-30,323.1
17,1980-06-30,392.7
18,1980-07-31,372.4
19,1980-08-29,386.5
20,1980-09-30,412.8
21,1980-10-31,404.9
22,1980-11-28,406.7
23,1980-12-31,392.4
24,1981-01-30,363.3
25,1981-02-27,358.0
26,1981-03-31,375.1
27,1981-04-30,369.7
28,1981-05-29,386.1
29,1981-06-30,353.4
30,1981-07-31,346.9
31,1981-08-31,362.5
32,1981-09-30,349.9
33,1981-10-30,347.0
34,1981-11-30,332.9
35,1981-12-31,327.5
36,1982-01-29,327.9
37,1982-02-26,308.9
38,1982-03-31,285.7
39,1982-04-30,318.8
40,1982-05-31,284.8
41,1982-06-30,301.0
42,1982-07-30,315.2
43,1982-08-31,388.3
44,1982-09-30,383.4
45,1982-10-29,416.8
46,1982-11-30,423.2
47,1982-12-31,429.9
48,1983-01-31,486.1
49,1983-02-28,394.4
50,1983-03-31,410.9
51,1983-04-29,430.9
52,1983-05-31,447.3
53,1983-06-30,431.7
54,1983-07-29,456.5
55,1983-08-31,452.9
56,1983-09-30,440.9
57,1983-10-31,416.5
58,1983-11-30,451.5
59,1983-12-30,432.0
60,1984-01-31,436.2
61,1984-02-29,428.6
62,1984-03-30,421.4
63,1984-04-30,425.2
64,1984-05-31,437.2
65,1984-06-29,431.9
66,1984-07-31,412.7
67,1984-08-31,419.4
68,1984-09-28,436.4
69,1984-10-31,421.4
70,1984-11-30,423.7
71,1984-12-31,402.5
72,1985-01-31,402.8
73,1985-02-28,400.5
74,1985-03-29,425.7
75,1985-04-30,417.9
76,1985-05-31,403.4
77,1985-06-28,405.0
78,1985-07-31,393.6
79,1985-08-30,400.0
80,1985-09-30,375.9
81,1985-10-31,366.6
82,1985-11-29,353.9
83,1985-12-31,347.5
84,1986-01-31,364.1
85,1986-02-28,328.6
86,1986-03-31,348.0
87,1986-04-30,329.6
88,1986-05-30,351.0
89,1986-06-30,336.2
90,1986-07-31,332.2
91,1986-08-29,349.5
92,1986-09-30,383.6
93,1986-10-31,369.8
94,1986-11-28,345.5
95,1986-12-31,337.8
96,1987-01-30,334.8
97,1987-02-27,338.0
98,1987-03-31,346.7
99,1987-04-30,371.8
100,1987-05-29,375.9
101,1987-06-30,373.3
102,1987-07-31,391.9
103,1987-08-31,374.3
104,1987-09-30,384.7
105,1987-10-30,372.2
106,1987-11-30,372.0
107,1987-12-31,351.8
108,1988-01-29,352.9
109,1988-02-29,330.5
110,1988-03-31,347.7
111,1988-04-29,345.6
112,1988-05-31,360.8
113,1988-06-30,364.4
114,1988-07-29,374.6
115,1988-08-31,369.1
116,1988-09-30,341.8
117,1988-10-31,337.9
118,1988-11-30,336.6
119,1988-12-30,332.7
120,1989-01-31,335.7
121,1989-02-28,321.6
122,1989-03-31,329.4
123,1989-04-28,321.8
124,1989-05-31,324.6
125,1989-06-30,330.9
126,1989-07-31,310.9
127,1989-08-31,318.1
128,1989-09-29,312.4
129,1989-10-31,315.2
130,1989-11-30,332.9
131,1989-12-29,310.7
132,1990-01-31,321.3
133,1990-02-28,316.2
134,1990-03-30,283.9
135,1990-04-30,280.7
136,1990-05-31,280.2
137,1990-06-29,265.9
138,1990-07-31,267.8
139,1990-08-31,278.0
140,1990-09-28,291.9
141,1990-10-31,262.6
142,1990-11-30,264.8
143,1990-12-31,265.7
144,1991-01-31,251.1
145,1991-02-28,256.1
146,1991-03-29,279.8
147,1991-04-30,282.5
148,1991-05-31,288.9
149,1991-06-28,308.5
150,1991-07-31,292.9
151,1991-08-30,280.8
152,1991-09-30,273.6
153,1991-10-31,276.7
154,1991-11-29,277.9
155,1991-12-31,250.3
156,1992-01-31,264.7
157,1992-02-28,269.0
158,1992-03-31,261.7
159,1992-04-30,258.0
