
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1995 ,1990 ,1980 ,1970 
Male Resident Population (Number),1990212,1953114,1977556,1969382,1955838,1943545,1929526,1916628,1902410,1891504,1880046,1868170,1861133,1844732,1802992,1775477,1748242,1721139,1695031,1673401,1684295,1658558,1634667,1514015,1386291,1159011,1030809
Female Resident Population (Number),2083027,2033728,2066654,2056827,2038445,2022251,2004033,1986062,1968329,1953247,1938159,1921081,1910588,1889144,1839667,1807605,1777652,1746675,1718235,1693490,1698649,1667344,1638696,1499500,1349577,1123114,982754
Male Literacy Rate (15 Years & Over) (Per Cent),na,98.9,98.5,98.9,98.9,98.8,98.7,98.6,98.6,98.5,98.5,98.4,98,97.9,97.7,97.6,97.4,97.3,97.1,97,96.8,96.7,96.6,95.8,95.1,91.4,83
Female Literacy Rate (15 Years & Over) (Per Cent),na,96.4,95.8,96.1,95.9,95.7,95.4,95.2,94.9,94.7,94.4,94.1,93.8,93.3,92.7,92.1,91.6,91.1,90.6,90.2,89.7,89.2,88.6,85.8,83,73.1,54.3
Combined Gross Enrolment Ratio For Males (Per Cent),na,na,115,114.2,113.8,112.6,112,109.8,109.6,107.2,106.6,102.1,101.7,97.6,96,95.9,95.1,94.3,89.7,89.8,88.8,88.4,89.1,86.9,81,67.6,68.5
Combined Gross Enrolment Ratio For Females (Per Cent),na,na,117.6,117.7,117.8,116.8,115.5,114.2,112.9,110.7,110.7,105.4,103.8,97.7,97.1,96.4,95,93.1,87.3,87.1,85.8,85.5,85.8,83.5,78.4,65.9,62.6
Mean Years Of Schooling (25 Years & Over) For Males (Years),12.1,12,11.7,11.6,11.6,11.3,11.2,11.2,11.1,11,10.9,10.7,10.6,10.3,10.2,9.9,9.9,9.9,9.6,9.4,9.3,9.2,9.2,8.4,7.3,5.6,na
Mean Years Of Schooling (25 Years & Over) For Females (Years),11.3,11.3,10.9,10.8,10.6,10.4,10.3,10.3,10.1,10,9.9,9.7,9.7,9.2,9.1,8.8,8.7,8.8,8.3,8.2,8.1,7.9,8.1,7.2,5.9,3.7,na
Male Resident Labour Force Participation Rate (15 Years & Over) (Per Cent),77,77.2,75.4,75.4,75.6,76,76.2,76.7,75.9,75.8,76,75.6,76.5,76.3,76.1,76.3,76.2,74.4,75.7,76.1,77.2,77.7,76.6,77.2,77.5,80.8,81.2
Female Resident Labour Force Participation Rate (15 Years & Over) (Per Cent),63.4,64.2,61.2,61.1,60.2,59.8,60.4,60.4,58.6,58.1,57.7,57,56.5,55.2,55.6,54.2,54.3,52,51.3,50.9,50.6,51.6,50.2,46.8,48.8,43.8,28.2
Proportion Of Employed Residents (15 Years & Over) Who Are Males (Per Cent),53.4,53.4,53.9,53.9,54.3,54.7,54.4,54.6,55.2,55.6,55.8,56,56.4,57,56.9,57.6,57.7,58.3,58.9,59.1,59.6,59.3,60,62.1,61.5,65.4,76.5
Proportion Of Employed Residents (15 Years & Over) Who Are Females (Per Cent),46.6,46.6,46.1,46.1,45.7,45.3,45.6,45.4,44.8,44.4,44.2,44,43.6,43,43.1,42.4,42.3,41.7,41.1,40.9,40.4,40.7,40,37.9,38.5,34.6,23.5
"Proportion Of Professionals, Managers, Executives & Technicians Among Male Employed Residents (15 Years & Over) (Per Cent)",64.1,63,60.4,59.2,58.3,57.5,56.4,56.2,55.2,55.2,54.7,54.5,54.9,52.9,52.9,50.1,na,45.9,48.1,47.2,46.5,46.7,45.4,38.5,29.6,19.6,9
"Proportion Of Professionals, Managers, Executives & Technicians Among Female Employed Residents (15 Years & Over) (Per Cent)",63,61.1,59.2,57.4,55.5,54.6,53.7,52.2,51.4,50.5,49.5,50.4,49.5,49.6,48.6,47.1,na,44.4,43.1,43.1,42.1,41.3,41.9,32.1,23.8,14.3,14.6
Median Age At First Marriage For Males (Years),na,30.5,30.4,30.4,30.2,30,30.3,30.3,30.2,30.2,30.1,30.1,30,29.8,29.8,29.8,29.7,29.8,29.4,29.1,28.9,28.8,28.7,28.6,28,26.7,26.9
Median Age At First Marriage For Females (Years),na,29.1,28.8,28.8,28.5,28.4,28.3,28.2,28.2,28.1,28,28,27.7,27.5,27.3,27.2,27,26.9,26.7,26.6,26.3,26.2,26.2,25.6,25.3,23.6,23.1

