,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-04-01 00:30:00,1.74709,5155.615
1,2018-04-01 01:00:00,1.74691,5058.203
2,2018-04-01 01:30:00,1.73255,5005.943
3,2018-04-01 02:00:00,1.71855,4938.585
4,2018-04-01 02:30:00,1.70582,4878.741
5,2018-04-01 03:00:00,1.68145,4842.768
6,2018-04-01 03:30:00,1.67327,4797.849
7,2018-04-01 04:00:00,1.64855,4773.456
8,2018-04-01 04:30:00,1.63909,4746.966
9,2018-04-01 05:00:00,1.63982,4752.881
10,2018-04-01 05:30:00,1.64909,4792.576
11,2018-04-01 06:00:00,1.68109,4844.135
12,2018-04-01 06:30:00,1.68109,4862.201
13,2018-04-01 07:00:00,1.69145,4896.812
14,2018-04-01 07:30:00,1.68145,4947.073
15,2018-04-01 08:00:00,1.70618,5032.021
16,2018-04-01 08:30:00,1.70545,5146.36
17,2018-04-01 09:00:00,1.71927,5260.69
18,2018-04-01 09:30:00,1.74127,5371.188
19,2018-04-01 10:00:00,1.79364,5463.074
20,2018-04-01 10:30:00,2.07091,5535.034
21,2018-04-01 11:00:00,1.744,5568.721
22,2018-04-01 11:30:00,1.75855,5585.077
23,2018-04-01 12:00:00,1.71855,5561.862
24,2018-04-01 12:30:00,1.73873,5559.526
25,2018-04-01 13:00:00,1.71873,5565.714
26,2018-04-01 13:30:00,1.71873,5591.518
27,2018-04-01 14:00:00,1.73909,5613.342
28,2018-04-01 14:30:00,1.73891,5607.701
29,2018-04-01 15:00:00,1.71873,5621.587
30,2018-04-01 15:30:00,1.74818,5608.884
31,2018-04-01 16:00:00,1.71891,5600.484
32,2018-04-01 16:30:00,1.71909,5604.525
33,2018-04-01 17:00:00,1.71873,5572.538
34,2018-04-01 17:30:00,1.71891,5557.101
35,2018-04-01 18:00:00,1.71855,5530.576
36,2018-04-01 18:30:00,1.71855,5561.495
37,2018-04-01 19:00:00,1.75836,5642.506
38,2018-04-01 19:30:00,2.43527,5718.557
39,2018-04-01 20:00:00,2.71273,5752.477
40,2018-04-01 20:30:00,2.77491,5756.199
41,2018-04-01 21:00:00,3.09473,5784.175
42,2018-04-01 21:30:00,3.14,5773.49
43,2018-04-01 22:00:00,2.46255,5678.767
44,2018-04-01 22:30:00,1.75255,5553.751
45,2018-04-01 23:00:00,1.71436,5458.203
46,2018-04-01 23:30:00,1.71673,5326.926
47,2018-04-02 00:00:00,1.70709,5196.433
48,2018-04-02 00:30:00,1.706,5054.271
49,2018-04-02 01:00:00,1.70582,4959.513
50,2018-04-02 01:30:00,1.704,4909.54
51,2018-04-02 02:00:00,1.70691,4848.866
52,2018-04-02 02:30:00,1.70036,4799.604
53,2018-04-02 03:00:00,1.68073,4763.049
54,2018-04-02 03:30:00,1.676,4734.924
55,2018-04-02 04:00:00,1.676,4726.594
56,2018-04-02 04:30:00,1.63673,4729.392
57,2018-04-02 05:00:00,1.59182,4757.359
58,2018-04-02 05:30:00,1.57564,4858.056
59,2018-04-02 06:00:00,1.59236,5012.787
60,2018-04-02 06:30:00,1.66855,5205.658
61,2018-04-02 07:00:00,1.682,5385.626
62,2018-04-02 07:30:00,1.49691,5591.717
63,2018-04-02 08:00:00,1.61582,5872.845
64,2018-04-02 08:30:00,1.72109,6158.635
65,2018-04-02 09:00:00,1.68164,6346.63
66,2018-04-02 09:30:00,1.71345,6455.791
67,2018-04-02 10:00:00,1.75964,6550.44
68,2018-04-02 10:30:00,1.77182,6616.104
69,2018-04-02 11:00:00,1.78855,6656.087
70,2018-04-02 11:30:00,1.74545,6626.914
71,2018-04-02 12:00:00,1.73164,6573.685
72,2018-04-02 12:30:00,1.68545,6516.858
73,2018-04-02 13:00:00,1.67273,6548.919
74,2018-04-02 13:30:00,1.68491,6603.495
75,2018-04-02 14:00:00,1.72236,6648.339
76,2018-04-02 14:30:00,1.72636,6673.169
77,2018-04-02 15:00:00,1.72236,6650.168
78,2018-04-02 15:30:00,1.71473,6646.744
79,2018-04-02 16:00:00,1.724,6659.894
80,2018-04-02 16:30:00,1.722,6656.699
81,2018-04-02 17:00:00,1.71455,6629.95
82,2018-04-02 17:30:00,1.69218,6568.894
83,2018-04-02 18:00:00,1.73127,6442.248
84,2018-04-02 18:30:00,1.69382,6354.369
85,2018-04-02 19:00:00,1.69345,6359.423
86,2018-04-02 19:30:00,1.722,6390.848
87,2018-04-02 20:00:00,1.73073,6366.679
88,2018-04-02 20:30:00,1.72018,6306.324
89,2018-04-02 21:00:00,1.76764,6246.43
90,2018-04-02 21:30:00,1.76145,6167.218
91,2018-04-02 22:00:00,1.71055,6030.2
92,2018-04-02 22:30:00,1.67818,5871.056
93,2018-04-02 23:00:00,1.61564,5712.354
94,2018-04-02 23:30:00,1.61545,5569.78
95,2018-04-03 00:00:00,1.56545,5445.286
96,2018-04-03 00:30:00,1.706,5328.128
97,2018-04-03 01:00:00,1.70582,5228.137
98,2018-04-03 01:30:00,1.70382,5123.648
99,2018-04-03 02:00:00,1.71745,5060.141
100,2018-04-03 02:30:00,1.69127,5005.367
101,2018-04-03 03:00:00,1.65109,4965.572
102,2018-04-03 03:30:00,1.63655,4922.76
103,2018-04-03 04:00:00,1.63655,4912.472
104,2018-04-03 04:30:00,1.63655,4907.279
105,2018-04-03 05:00:00,1.63655,4929.266
106,2018-04-03 05:30:00,1.67455,4997.991
107,2018-04-03 06:00:00,1.70382,5159.491
108,2018-04-03 06:30:00,1.70582,5329.281
109,2018-04-03 07:00:00,1.70636,5489.574
110,2018-04-03 07:30:00,1.676,5684.522
111,2018-04-03 08:00:00,1.71982,5959.78
112,2018-04-03 08:30:00,1.79564,6238.831
113,2018-04-03 09:00:00,1.75564,6421.011
114,2018-04-03 09:30:00,1.76655,6536.539
115,2018-04-03 10:00:00,1.74291,6577.904
116,2018-04-03 10:30:00,1.756,6644.885
117,2018-04-03 11:00:00,1.88855,6667.066
118,2018-04-03 11:30:00,1.74291,6661.813
119,2018-04-03 12:00:00,1.72291,6609.837
120,2018-04-03 12:30:00,1.672,6558.024
121,2018-04-03 13:00:00,1.67727,6573.242
122,2018-04-03 13:30:00,1.72091,6635.77
123,2018-04-03 14:00:00,1.73145,6671.539
124,2018-04-03 14:30:00,1.73909,6698.974
125,2018-04-03 15:00:00,1.73382,6681.579
126,2018-04-03 15:30:00,1.73473,6692.125
127,2018-04-03 16:00:00,1.74291,6699.858
128,2018-04-03 16:30:00,1.74291,6700.927
129,2018-04-03 17:00:00,1.73145,6658.07
130,2018-04-03 17:30:00,1.71527,6579.018
131,2018-04-03 18:00:00,1.72909,6449.614
132,2018-04-03 18:30:00,1.70818,6352.435
133,2018-04-03 19:00:00,1.71709,6354.1
134,2018-04-03 19:30:00,1.72945,6376.475
135,2018-04-03 20:00:00,1.74309,6355.845
136,2018-04-03 20:30:00,1.73964,6309.828
137,2018-04-03 21:00:00,1.81327,6268.686
138,2018-04-03 21:30:00,1.79764,6185.011
139,2018-04-03 22:00:00,1.75782,6064.782
140,2018-04-03 22:30:00,1.71891,5903.376
141,2018-04-03 23:00:00,1.676,5753.501
142,2018-04-03 23:30:00,1.69982,5615.026
143,2018-04-04 00:00:00,1.61491,5481.83
144,2018-04-04 00:30:00,1.72036,5364.767
145,2018-04-04 01:00:00,1.71982,5266.023
146,2018-04-04 01:30:00,1.72855,5167.264
147,2018-04-04 02:00:00,1.75455,5099.409
148,2018-04-04 02:30:00,1.71764,5034.252
149,2018-04-04 03:00:00,1.70236,4996.495
150,2018-04-04 03:30:00,1.68018,4957.302
151,2018-04-04 04:00:00,1.67655,4948.4
152,2018-04-04 04:30:00,1.67636,4936.701
153,2018-04-04 05:00:00,1.67636,4954.325
154,2018-04-04 05:30:00,1.70527,5045.286
155,2018-04-04 06:00:00,1.728,5194.748
156,2018-04-04 06:30:00,1.71891,5360.016
157,2018-04-04 07:00:00,1.71727,5509.782
158,2018-04-04 07:30:00,1.70636,5691.942
159,2018-04-04 08:00:00,1.72818,5968.473
160,2018-04-04 08:30:00,1.75964,6222.505
161,2018-04-04 09:00:00,1.74709,6396.504
162,2018-04-04 09:30:00,1.73673,6499.11
163,2018-04-04 10:00:00,1.74836,6564.615
164,2018-04-04 10:30:00,1.744,6632.261
165,2018-04-04 11:00:00,1.73927,6663.756
166,2018-04-04 11:30:00,1.74273,6660.123
167,2018-04-04 12:00:00,1.69818,6613.778
168,2018-04-04 12:30:00,1.67564,6567.964
169,2018-04-04 13:00:00,1.686,6597.342
170,2018-04-04 13:30:00,1.72291,6648.225
171,2018-04-04 14:00:00,1.73382,6691.305
172,2018-04-04 14:30:00,1.73382,6704.982
173,2018-04-04 15:00:00,1.736,6694.133
174,2018-04-04 15:30:00,1.74273,6705.191
175,2018-04-04 16:00:00,1.75273,6717.621
176,2018-04-04 16:30:00,1.748,6714.714
177,2018-04-04 17:00:00,1.748,6685.709
178,2018-04-04 17:30:00,1.79673,6619.245
179,2018-04-04 18:00:00,1.756,6515.605
180,2018-04-04 18:30:00,1.72945,6435.593
181,2018-04-04 19:00:00,1.732,6419.789
182,2018-04-04 19:30:00,1.74364,6418.417
183,2018-04-04 20:00:00,1.75764,6381.311
184,2018-04-04 20:30:00,1.744,6337.933
185,2018-04-04 21:00:00,1.81764,6291.568
186,2018-04-04 21:30:00,1.79855,6225.949
187,2018-04-04 22:00:00,1.73364,6089.284
188,2018-04-04 22:30:00,1.71891,5948.026
189,2018-04-04 23:00:00,1.67109,5802.301
190,2018-04-04 23:30:00,1.61564,5656.074
191,2018-04-05 00:00:00,1.50455,5500.538
192,2018-04-05 00:30:00,1.67527,5352.64
193,2018-04-05 01:00:00,1.59836,5240.994
194,2018-04-05 01:30:00,1.70418,5173.412
195,2018-04-05 02:00:00,1.69055,5095.005
196,2018-04-05 02:30:00,1.658,5041.851
197,2018-04-05 03:00:00,1.646,4977.505
198,2018-04-05 03:30:00,1.59855,4950.423
199,2018-04-05 04:00:00,1.59036,4924.375
200,2018-04-05 04:30:00,1.59036,4914.097
201,2018-04-05 05:00:00,1.59164,4939.489
202,2018-04-05 05:30:00,1.64873,5017.538
203,2018-04-05 06:00:00,1.70382,5167.458
204,2018-04-05 06:30:00,1.58982,5337.899
205,2018-04-05 07:00:00,1.60636,5479.5
206,2018-04-05 07:30:00,1.46691,5649.498
207,2018-04-05 08:00:00,1.63345,5920.483
208,2018-04-05 08:30:00,1.69236,6190.229
209,2018-04-05 09:00:00,1.72927,6371.55
210,2018-04-05 09:30:00,1.75782,6482.073
211,2018-04-05 10:00:00,1.758,6552.995
212,2018-04-05 10:30:00,1.80691,6616.601
213,2018-04-05 11:00:00,1.88709,6651.371
214,2018-04-05 11:30:00,1.85745,6639.125
215,2018-04-05 12:00:00,1.79636,6578.645
216,2018-04-05 12:30:00,1.79545,6541.668
217,2018-04-05 13:00:00,1.79636,6570.673
218,2018-04-05 13:30:00,1.83945,6634.185
219,2018-04-05 14:00:00,1.86218,6695.569
220,2018-04-05 14:30:00,1.88055,6712.552
221,2018-04-05 15:00:00,1.876,6700.927
222,2018-04-05 15:30:00,1.85236,6699.605
