,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-08-01 00:30:00,2.16327,5400.929
1,2018-08-01 01:00:00,2.09145,5273.97
2,2018-08-01 01:30:00,2.07927,5226.735
3,2018-08-01 02:00:00,2.01527,5149.631
4,2018-08-01 02:30:00,1.98818,5094.936
5,2018-08-01 03:00:00,1.97927,5043.899
6,2018-08-01 03:30:00,1.92545,5023.278
7,2018-08-01 04:00:00,1.91945,4991.48
8,2018-08-01 04:30:00,1.91927,4983.518
9,2018-08-01 05:00:00,1.91909,5000.143
10,2018-08-01 05:30:00,1.95236,5061.537
11,2018-08-01 06:00:00,1.92364,5193.769
12,2018-08-01 06:30:00,2.07164,5368.758
13,2018-08-01 07:00:00,2.09182,5530.189
14,2018-08-01 07:30:00,2.06927,5728.447
15,2018-08-01 08:00:00,2.18273,6010.887
16,2018-08-01 08:30:00,2.32873,6290.668
17,2018-08-01 09:00:00,2.37127,6467.849
18,2018-08-01 09:30:00,2.52018,6557.532
19,2018-08-01 10:00:00,2.44436,6602.232
20,2018-08-01 10:30:00,2.37036,6642.256
21,2018-08-01 11:00:00,2.34582,6661.977
22,2018-08-01 11:30:00,2.16164,6643.399
23,2018-08-01 12:00:00,1.99909,6560.808
24,2018-08-01 12:30:00,1.91709,6492.818
25,2018-08-01 13:00:00,1.90364,6489.468
26,2018-08-01 13:30:00,1.90291,6528.587
27,2018-08-01 14:00:00,1.90309,6550.043
28,2018-08-01 14:30:00,1.90255,6549.724
29,2018-08-01 15:00:00,1.90255,6538.284
30,2018-08-01 15:30:00,1.90255,6535.366
31,2018-08-01 16:00:00,1.90255,6546.236
32,2018-08-01 16:30:00,1.90091,6538.269
33,2018-08-01 17:00:00,1.90673,6509.989
34,2018-08-01 17:30:00,1.90273,6439.753
35,2018-08-01 18:00:00,1.794,6322.779
36,2018-08-01 18:30:00,1.74982,6239.721
37,2018-08-01 19:00:00,1.75655,6256.912
38,2018-08-01 19:30:00,1.79491,6291.026
39,2018-08-01 20:00:00,1.81055,6287.005
40,2018-08-01 20:30:00,1.88455,6252.797
41,2018-08-01 21:00:00,2.06164,6213.743
42,2018-08-01 21:30:00,2.18382,6149.654
43,2018-08-01 22:00:00,2.07655,6030.474
44,2018-08-01 22:30:00,1.91073,5889.863
45,2018-08-01 23:00:00,1.83618,5757.447
46,2018-08-01 23:30:00,1.75091,5629.832
47,2018-08-02 00:00:00,1.71818,5468.233
48,2018-08-02 00:30:00,1.90473,5329.42
49,2018-08-02 01:00:00,1.86873,5215.965
50,2018-08-02 01:30:00,1.85036,5135.188
51,2018-08-02 02:00:00,1.83473,5058.829
52,2018-08-02 02:30:00,1.83327,5002.38
53,2018-08-02 03:00:00,1.83109,4967.485
54,2018-08-02 03:30:00,1.73527,4924.853
55,2018-08-02 04:00:00,1.71673,4912.0
56,2018-08-02 04:30:00,1.71709,4910.032
57,2018-08-02 05:00:00,1.73509,4934.633
58,2018-08-02 05:30:00,1.83145,5015.272
59,2018-08-02 06:00:00,1.75182,5148.209
60,2018-08-02 06:30:00,1.83255,5329.763
61,2018-08-02 07:00:00,1.86927,5500.1
62,2018-08-02 07:30:00,1.87164,5714.784
63,2018-08-02 08:00:00,2.00382,5988.298
64,2018-08-02 08:30:00,2.05709,6259.829
65,2018-08-02 09:00:00,2.09182,6447.004
66,2018-08-02 09:30:00,2.16345,6535.963
67,2018-08-02 10:00:00,2.25582,6588.321
68,2018-08-02 10:30:00,2.33073,6624.16
69,2018-08-02 11:00:00,2.32291,6630.109
70,2018-08-02 11:30:00,2.274,6622.545
71,2018-08-02 12:00:00,2.16,6545.316
72,2018-08-02 12:30:00,2.09691,6495.467
73,2018-08-02 13:00:00,2.13091,6517.588
74,2018-08-02 13:30:00,2.16127,6563.447
75,2018-08-02 14:00:00,2.27382,6613.649
76,2018-08-02 14:30:00,2.272,6610.98
77,2018-08-02 15:00:00,2.25582,6602.685
78,2018-08-02 15:30:00,2.272,6607.381
79,2018-08-02 16:00:00,2.27382,6614.573
80,2018-08-02 16:30:00,2.27345,6624.901
81,2018-08-02 17:00:00,2.256,6593.202
82,2018-08-02 17:30:00,2.14491,6525.297
83,2018-08-02 18:00:00,1.99109,6390.267
84,2018-08-02 18:30:00,1.98055,6308.356
