,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-12-01 00:30:00,2.05291,5371.631
1,2018-12-01 01:00:00,2.03018,5274.681
2,2018-12-01 01:30:00,2.12291,5169.869
3,2018-12-01 02:00:00,2.10891,5090.846
4,2018-12-01 02:30:00,2.05273,5024.556
5,2018-12-01 03:00:00,1.96291,4973.399
6,2018-12-01 03:30:00,1.92418,4935.563
7,2018-12-01 04:00:00,1.87909,4896.017
8,2018-12-01 04:30:00,1.87818,4886.002
9,2018-12-01 05:00:00,1.87818,4891.901
10,2018-12-01 05:30:00,1.83164,4919.554
11,2018-12-01 06:00:00,1.86182,4991.898
12,2018-12-01 06:30:00,1.87273,5052.094
13,2018-12-01 07:00:00,1.94855,5136.604
14,2018-12-01 07:30:00,1.94964,5218.232
15,2018-12-01 08:00:00,1.95745,5407.35
16,2018-12-01 08:30:00,2.06,5624.748
17,2018-12-01 09:00:00,2.07473,5809.801
18,2018-12-01 09:30:00,2.07927,5913.231
19,2018-12-01 10:00:00,2.15673,6026.339
20,2018-12-01 10:30:00,2.34291,6104.75
21,2018-12-01 11:00:00,2.83473,6156.826
22,2018-12-01 11:30:00,2.91055,6140.793
23,2018-12-01 12:00:00,2.638,6087.579
24,2018-12-01 12:30:00,2.26855,6048.525
25,2018-12-01 13:00:00,2.22345,6009.341
26,2018-12-01 13:30:00,2.19964,5990.972
27,2018-12-01 14:00:00,2.21291,5978.756
28,2018-12-01 14:30:00,2.15291,5930.124
29,2018-12-01 15:00:00,2.15455,5917.893
30,2018-12-01 15:30:00,2.14764,5897.362
31,2018-12-01 16:00:00,2.06309,5880.474
32,2018-12-01 16:30:00,2.06255,5864.396
33,2018-12-01 17:00:00,2.03727,5826.475
34,2018-12-01 17:30:00,2.02945,5795.825
35,2018-12-01 18:00:00,1.95764,5756.716
36,2018-12-01 18:30:00,2.02927,5765.339
37,2018-12-01 19:00:00,2.07945,5827.956
38,2018-12-01 19:30:00,3.20036,5857.861
39,2018-12-01 20:00:00,2.15491,5858.303
40,2018-12-01 20:30:00,2.07964,5820.392
41,2018-12-01 21:00:00,2.07436,5814.145
42,2018-12-01 21:30:00,2.03709,5776.86
43,2018-12-01 22:00:00,2.02582,5697.678
44,2018-12-01 22:30:00,1.87727,5586.051
45,2018-12-01 23:00:00,1.83582,5498.699
46,2018-12-01 23:30:00,1.83455,5403.185
47,2018-12-02 00:00:00,1.87636,5274.736
48,2018-12-02 00:30:00,1.78982,5157.856
49,2018-12-02 01:00:00,1.76891,5058.471
50,2018-12-02 01:30:00,1.81691,4990.586
