,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-02-01 00:30:00,1.72927,5272.872
1,2018-02-01 01:00:00,1.61491,5161.837
2,2018-02-01 01:30:00,1.57655,4995.779
3,2018-02-01 02:00:00,1.57636,4933.396
4,2018-02-01 02:30:00,1.54745,4874.571
5,2018-02-01 03:00:00,1.48309,4833.752
6,2018-02-01 03:30:00,1.462,4803.475
7,2018-02-01 04:00:00,1.45673,4788.719
8,2018-02-01 04:30:00,1.45673,4796.02
9,2018-02-01 05:00:00,1.462,4821.581
10,2018-02-01 05:30:00,1.52036,4893.745
11,2018-02-01 06:00:00,1.61236,5051.826
12,2018-02-01 06:30:00,1.69036,5229.971
13,2018-02-01 07:00:00,1.65018,5396.009
14,2018-02-01 07:30:00,1.59273,5604.634
15,2018-02-01 08:00:00,1.76091,5880.981
16,2018-02-01 08:30:00,1.80818,6138.656
17,2018-02-01 09:00:00,1.85018,6306.652
18,2018-02-01 09:30:00,1.86745,6402.349
19,2018-02-01 10:00:00,1.84273,6459.698
20,2018-02-01 10:30:00,1.86964,6528.488
21,2018-02-01 11:00:00,2.00182,6579.853
22,2018-02-01 11:30:00,2.002,6582.477
23,2018-02-01 12:00:00,2.77673,6518.915
24,2018-02-01 12:30:00,2.64964,6458.818
25,2018-02-01 13:00:00,2.77691,6497.689
26,2018-02-01 13:30:00,3.04873,6572.06
27,2018-02-01 14:00:00,2.77691,6620.666
28,2018-02-01 14:30:00,2.77709,6616.79
29,2018-02-01 15:00:00,2.62309,6610.234
30,2018-02-01 15:30:00,2.40691,6600.523
31,2018-02-01 16:00:00,1.81109,6578.362
32,2018-02-01 16:30:00,5.48182,6560.142
33,2018-02-01 17:00:00,2.82582,6528.577
34,2018-02-01 17:30:00,1.81109,6466.855
35,2018-02-01 18:00:00,1.78273,6357.977
36,2018-02-01 18:30:00,1.73218,6284.023
37,2018-02-01 19:00:00,1.73127,6285.519
38,2018-02-01 19:30:00,1.768,6310.156
39,2018-02-01 20:00:00,1.768,6277.846
40,2018-02-01 20:30:00,1.79673,6214.602
41,2018-02-01 21:00:00,1.87182,6164.008
42,2018-02-01 21:30:00,1.80982,6088.812
43,2018-02-01 22:00:00,1.75255,5958.533
44,2018-02-01 22:30:00,1.66855,5811.873
45,2018-02-01 23:00:00,1.61545,5671.928
46,2018-02-01 23:30:00,1.47673,5530.815
47,2018-02-02 00:00:00,1.45782,5357.705
48,2018-02-02 00:30:00,1.66818,5190.633
49,2018-02-02 01:00:00,1.60327,5077.113
50,2018-02-02 01:30:00,1.61291,5013.681
51,2018-02-02 02:00:00,1.61273,4954.732
52,2018-02-02 02:30:00,1.576,4892.055
53,2018-02-02 03:00:00,1.57527,4849.214
54,2018-02-02 03:30:00,1.52436,4830.631
55,2018-02-02 04:00:00,1.52436,4829.543
56,2018-02-02 04:30:00,1.52436,4824.98
57,2018-02-02 05:00:00,1.47509,4858.995
58,2018-02-02 05:30:00,1.49418,4933.157
59,2018-02-02 06:00:00,1.61218,5093.549
60,2018-02-02 06:30:00,1.69473,5276.743
61,2018-02-02 07:00:00,1.69109,5444.7
62,2018-02-02 07:30:00,1.61455,5639.121
63,2018-02-02 08:00:00,1.75382,5892.492
64,2018-02-02 08:30:00,1.84127,6156.319
65,2018-02-02 09:00:00,1.94345,6328.54
66,2018-02-02 09:30:00,1.93818,6419.247
67,2018-02-02 10:00:00,1.84273,6475.622
68,2018-02-02 10:30:00,1.81127,6519.576
69,2018-02-02 11:00:00,3.40836,6545.44
70,2018-02-02 11:30:00,3.33145,6534.054
71,2018-02-02 12:00:00,1.81036,6470.443
72,2018-02-02 12:30:00,1.754,6414.416
73,2018-02-02 13:00:00,1.74182,6412.811
74,2018-02-02 13:30:00,1.76018,6446.403
75,2018-02-02 14:00:00,1.76964,6472.978
76,2018-02-02 14:30:00,1.75927,6472.033
77,2018-02-02 15:00:00,1.75109,6447.238
78,2018-02-02 15:30:00,1.84618,6428.685
79,2018-02-02 16:00:00,1.81291,6408.651
80,2018-02-02 16:30:00,1.69491,6383.935
81,2018-02-02 17:00:00,1.75636,6341.879
82,2018-02-02 17:30:00,1.70309,6262.975
83,2018-02-02 18:00:00,1.65145,6141.792
84,2018-02-02 18:30:00,1.61473,6043.445
85,2018-02-02 19:00:00,1.616,6052.824
86,2018-02-02 19:30:00,1.61582,6070.711
87,2018-02-02 20:00:00,1.616,6055.885
88,2018-02-02 20:30:00,1.65055,5992.324
89,2018-02-02 21:00:00,1.67291,5931.978
90,2018-02-02 21:30:00,1.64382,5856.524
91,2018-02-02 22:00:00,1.47818,5733.213
92,2018-02-02 22:30:00,1.46836,5593.81
93,2018-02-02 23:00:00,1.45909,5473.804
94,2018-02-02 23:30:00,1.40018,5352.968
95,2018-02-03 00:00:00,1.36909,5227.521
