,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-01-01 00:30:00,1.55327,5007.524
1,2018-01-01 01:00:00,1.51727,4892.041
2,2018-01-01 01:30:00,1.46473,4799.713
3,2018-01-01 02:00:00,1.46473,4766.702
4,2018-01-01 02:30:00,1.46455,4741.196
5,2018-01-01 03:00:00,1.45509,4708.961
6,2018-01-01 03:30:00,1.42182,4664.837
7,2018-01-01 04:00:00,1.41655,4622.329
8,2018-01-01 04:30:00,1.39745,4561.585
9,2018-01-01 05:00:00,1.39055,4569.517
10,2018-01-01 05:30:00,1.39745,4594.601
11,2018-01-01 06:00:00,1.39818,4643.521
12,2018-01-01 06:30:00,1.39109,4671.616
13,2018-01-01 07:00:00,1.39109,4719.875
14,2018-01-01 07:30:00,1.36055,4756.658
15,2018-01-01 08:00:00,1.41745,4845.342
16,2018-01-01 08:30:00,1.43,4977.872
17,2018-01-01 09:00:00,1.46691,5086.273
18,2018-01-01 09:30:00,1.534,5191.751
19,2018-01-01 10:00:00,1.56164,5281.38
20,2018-01-01 10:30:00,1.57891,5349.524
21,2018-01-01 11:00:00,1.47582,5389.448
22,2018-01-01 11:30:00,1.476,5400.119
23,2018-01-01 12:00:00,1.47582,5379.374
24,2018-01-01 12:30:00,1.46727,5373.648
25,2018-01-01 13:00:00,1.476,5381.789
26,2018-01-01 13:30:00,1.476,5397.703
27,2018-01-01 14:00:00,1.43909,5401.853
28,2018-01-01 14:30:00,1.43891,5378.201
29,2018-01-01 15:00:00,1.43891,5358.212
30,2018-01-01 15:30:00,1.43891,5335.837
31,2018-01-01 16:00:00,1.43891,5340.141
32,2018-01-01 16:30:00,1.43891,5332.035
33,2018-01-01 17:00:00,1.43036,5322.597
34,2018-01-01 17:30:00,1.43055,5323.362
35,2018-01-01 18:00:00,1.43036,5326.672
36,2018-01-01 18:30:00,1.476,5400.631
37,2018-01-01 19:00:00,1.56236,5504.086
38,2018-01-01 19:30:00,1.61382,5566.827
39,2018-01-01 20:00:00,1.65127,5607.89
40,2018-01-01 20:30:00,1.67927,5645.602
41,2018-01-01 21:00:00,1.68164,5648.867
42,2018-01-01 21:30:00,1.65109,5603.566
43,2018-01-01 22:00:00,1.61382,5511.064
44,2018-01-01 22:30:00,1.50364,5399.135
45,2018-01-01 23:00:00,1.46745,5272.33
46,2018-01-01 23:30:00,1.59527,5164.889
47,2018-01-02 00:00:00,1.75582,5043.208
48,2018-01-02 00:30:00,1.572,4941.045
49,2018-01-02 01:00:00,1.56073,4843.717
50,2018-01-02 01:30:00,1.49564,4757.095
51,2018-01-02 02:00:00,1.48127,4700.527
52,2018-01-02 02:30:00,1.43764,4641.095
53,2018-01-02 03:00:00,1.42727,4604.884
54,2018-01-02 03:30:00,1.42745,4578.299
55,2018-01-02 04:00:00,1.41709,4563.191
56,2018-01-02 04:30:00,1.41745,4563.742
57,2018-01-02 05:00:00,1.40418,4583.478
58,2018-01-02 05:30:00,1.41782,4661.89
59,2018-01-02 06:00:00,1.40127,4813.942
60,2018-01-02 06:30:00,1.42891,5014.447
61,2018-01-02 07:00:00,1.47764,5191.473
62,2018-01-02 07:30:00,1.41945,5407.206
63,2018-01-02 08:00:00,1.44127,5662.972
64,2018-01-02 08:30:00,1.68473,5958.439
65,2018-01-02 09:00:00,1.68382,6176.393
66,2018-01-02 09:30:00,1.56636,6286.374
67,2018-01-02 10:00:00,1.49818,6314.226
68,2018-01-02 10:30:00,1.48436,6397.727
69,2018-01-02 11:00:00,1.52436,6437.119
70,2018-01-02 11:30:00,1.53109,6443.053
71,2018-01-02 12:00:00,1.50836,6393.289
72,2018-01-02 12:30:00,1.49382,6363.036
73,2018-01-02 13:00:00,1.494,6367.181
74,2018-01-02 13:30:00,1.50909,6415.828
75,2018-01-02 14:00:00,1.49382,6411.593
76,2018-01-02 14:30:00,1.484,6385.61
77,2018-01-02 15:00:00,1.48436,6397.856
78,2018-01-02 15:30:00,1.50909,6393.92
79,2018-01-02 16:00:00,1.50636,6387.901
80,2018-01-02 16:30:00,1.49345,6365.228
81,2018-01-02 17:00:00,1.48382,6334.225
82,2018-01-02 17:30:00,1.44309,6268.08
83,2018-01-02 18:00:00,1.43073,6151.026
84,2018-01-02 18:30:00,1.40564,6089.94
85,2018-01-02 19:00:00,1.43291,6110.888
86,2018-01-02 19:30:00,1.43273,6125.58
87,2018-01-02 20:00:00,1.44127,6115.247
88,2018-01-02 20:30:00,1.43527,6062.088
89,2018-01-02 21:00:00,1.62036,6009.446
90,2018-01-02 21:30:00,1.55909,5927.982
91,2018-01-02 22:00:00,1.44273,5789.553
92,2018-01-02 22:30:00,1.42236,5642.247
93,2018-01-02 23:00:00,1.38582,5486.497
94,2018-01-02 23:30:00,1.368,5331.93
95,2018-01-03 00:00:00,1.34509,5161.782
96,2018-01-03 00:30:00,1.38509,4994.005
97,2018-01-03 01:00:00,1.36636,4896.086
98,2018-01-03 01:30:00,1.36436,4842.659
99,2018-01-03 02:00:00,1.35491,4789.882
100,2018-01-03 02:30:00,1.32673,4731.281
101,2018-01-03 03:00:00,1.32655,4693.628
102,2018-01-03 03:30:00,1.30473,4673.38
103,2018-01-03 04:00:00,1.30436,4654.614
104,2018-01-03 04:30:00,1.30491,4666.85
105,2018-01-03 05:00:00,1.32636,4695.711
106,2018-01-03 05:30:00,1.34491,4779.068
107,2018-01-03 06:00:00,1.366,4923.342
108,2018-01-03 06:30:00,1.39018,5108.961
109,2018-01-03 07:00:00,1.42927,5293.572
110,2018-01-03 07:30:00,1.38509,5489.44
111,2018-01-03 08:00:00,1.41564,5731.608
112,2018-01-03 08:30:00,1.474,5990.068
113,2018-01-03 09:00:00,1.44982,6153.392
114,2018-01-03 09:30:00,1.47582,6273.382
115,2018-01-03 10:00:00,1.48345,6346.939
116,2018-01-03 10:30:00,1.55,6424.287
117,2018-01-03 11:00:00,1.63509,6475.796
118,2018-01-03 11:30:00,1.592,6481.109
119,2018-01-03 12:00:00,1.552,6428.163
120,2018-01-03 12:30:00,1.52382,6367.569
121,2018-01-03 13:00:00,1.55073,6410.49
122,2018-01-03 13:30:00,1.61091,6476.934
123,2018-01-03 14:00:00,1.63509,6521.415
124,2018-01-03 14:30:00,1.63509,6517.032
125,2018-01-03 15:00:00,1.62964,6512.012
126,2018-01-03 15:30:00,1.63509,6510.456
127,2018-01-03 16:00:00,1.69527,6505.188
128,2018-01-03 16:30:00,1.63509,6489.498
129,2018-01-03 17:00:00,1.62909,6450.339
130,2018-01-03 17:30:00,1.53145,6372.221
131,2018-01-03 18:00:00,1.47964,6257.051
132,2018-01-03 18:30:00,1.44927,6184.638
133,2018-01-03 19:00:00,1.47982,6206.725
134,2018-01-03 19:30:00,1.52382,6226.138
135,2018-01-03 20:00:00,1.49836,6190.707
136,2018-01-03 20:30:00,1.47982,6151.732
137,2018-01-03 21:00:00,1.74236,6098.086
138,2018-01-03 21:30:00,1.72382,6015.494
139,2018-01-03 22:00:00,1.62891,5895.623
140,2018-01-03 22:30:00,1.47382,5724.188
141,2018-01-03 23:00:00,1.40964,5567.578
142,2018-01-03 23:30:00,1.38582,5420.163
143,2018-01-04 00:00:00,1.37309,5235.353
144,2018-01-04 00:30:00,1.39236,5075.205
145,2018-01-04 01:00:00,1.35564,4954.021
146,2018-01-04 01:30:00,1.35545,4935.031
147,2018-01-04 02:00:00,1.32691,4882.225
148,2018-01-04 02:30:00,1.32636,4829.294
149,2018-01-04 03:00:00,1.30073,4798.699
150,2018-01-04 03:30:00,1.28218,4761.315
151,2018-01-04 04:00:00,1.30018,4747.324
152,2018-01-04 04:30:00,1.28236,4747.394
153,2018-01-04 05:00:00,1.31091,4766.329
154,2018-01-04 05:30:00,1.312,4844.86
155,2018-01-04 06:00:00,1.35545,4984.319
156,2018-01-04 06:30:00,1.40255,5164.844
157,2018-01-04 07:00:00,1.44182,5333.108
158,2018-01-04 07:30:00,1.36527,5540.978
159,2018-01-04 08:00:00,1.41109,5792.868
160,2018-01-04 08:30:00,1.56073,6049.658
161,2018-01-04 09:00:00,1.524,6233.911
162,2018-01-04 09:30:00,1.54382,6335.383
163,2018-01-04 10:00:00,1.57327,6408.224
164,2018-01-04 10:30:00,1.59218,6450.687
165,2018-01-04 11:00:00,1.692,6488.574
166,2018-01-04 11:30:00,1.80382,6485.358
167,2018-01-04 12:00:00,1.772,6429.038
168,2018-01-04 12:30:00,1.56127,6375.61
169,2018-01-04 13:00:00,1.67364,6386.495
170,2018-01-04 13:30:00,1.69436,6426.906
171,2018-01-04 14:00:00,1.72764,6460.11
172,2018-01-04 14:30:00,1.69527,6469.027
173,2018-01-04 15:00:00,1.61545,6453.311
174,2018-01-04 15:30:00,1.59236,6449.549
175,2018-01-04 16:00:00,1.62982,6441.846
176,2018-01-04 16:30:00,1.61091,6434.54
177,2018-01-04 17:00:00,1.552,6408.562
178,2018-01-04 17:30:00,1.524,6346.774
179,2018-01-04 18:00:00,1.44509,6237.852
180,2018-01-04 18:30:00,1.44509,6164.53
181,2018-01-04 19:00:00,1.47982,6170.757
182,2018-01-04 19:30:00,1.48036,6192.352
183,2018-01-04 20:00:00,1.51764,6185.165
184,2018-01-04 20:30:00,1.48055,6139.441
185,2018-01-04 21:00:00,1.73818,6087.291
186,2018-01-04 21:30:00,1.72564,5998.616
187,2018-01-04 22:00:00,1.58,5871.528
188,2018-01-04 22:30:00,1.44255,5719.372
189,2018-01-04 23:00:00,1.40473,5586.315
190,2018-01-04 23:30:00,1.32873,5431.39
191,2018-01-05 00:00:00,1.314,5286.117
192,2018-01-05 00:30:00,1.404,5151.703
193,2018-01-05 01:00:00,1.36655,5023.085
194,2018-01-05 01:30:00,1.35545,4945.523
195,2018-01-05 02:00:00,1.32691,4881.246
196,2018-01-05 02:30:00,1.30036,4833.752
197,2018-01-05 03:00:00,1.28473,4793.471
198,2018-01-05 03:30:00,1.28218,4770.947
199,2018-01-05 04:00:00,1.28218,4754.049
200,2018-01-05 04:30:00,1.28218,4760.236
201,2018-01-05 05:00:00,1.28491,4797.79
202,2018-01-05 05:30:00,1.32618,4863.428
203,2018-01-05 06:00:00,1.364,5019.889
204,2018-01-05 06:30:00,1.40345,5187.408
205,2018-01-05 07:00:00,1.47891,5373.147
206,2018-01-05 07:30:00,1.33073,5560.694
207,2018-01-05 08:00:00,1.44236,5815.531
208,2018-01-05 08:30:00,1.62182,6080.522
209,2018-01-05 09:00:00,1.52509,6249.343
210,2018-01-05 09:30:00,1.55782,6361.988
211,2018-01-05 10:00:00,1.55473,6427.457
212,2018-01-05 10:30:00,1.58255,6492.142
213,2018-01-05 11:00:00,1.64818,6524.586
214,2018-01-05 11:30:00,1.53655,6504.771
215,2018-01-05 12:00:00,1.51782,6445.573
216,2018-01-05 12:30:00,1.49855,6380.327
217,2018-01-05 13:00:00,1.49836,6382.375
218,2018-01-05 13:30:00,1.51709,6425.807
219,2018-01-05 14:00:00,1.52382,6448.252
220,2018-01-05 14:30:00,1.53709,6454.365
221,2018-01-05 15:00:00,1.51855,6423.069
222,2018-01-05 15:30:00,1.51709,6419.878
223,2018-01-05 16:00:00,1.552,6428.243
224,2018-01-05 16:30:00,1.50618,6396.663
225,2018-01-05 17:00:00,1.48,6369.482
226,2018-01-05 17:30:00,1.44509,6291.737
227,2018-01-05 18:00:00,1.44255,6205.835
228,2018-01-05 18:30:00,1.40782,6129.571
229,2018-01-05 19:00:00,1.44273,6149.629
230,2018-01-05 19:30:00,1.53545,6162.601
231,2018-01-05 20:00:00,1.55109,6119.864
232,2018-01-05 20:30:00,1.54891,6084.19
233,2018-01-05 21:00:00,1.74145,6021.498
234,2018-01-05 21:30:00,1.68145,5938.201
235,2018-01-05 22:00:00,1.54764,5814.87
236,2018-01-05 22:30:00,1.422,5679.214
237,2018-01-05 23:00:00,1.38636,5560.709
238,2018-01-05 23:30:00,1.31473,5433.785
239,2018-01-06 00:00:00,1.29873,5303.288
240,2018-01-06 00:30:00,1.468,5140.377
241,2018-01-06 01:00:00,1.46727,5047.199
242,2018-01-06 01:30:00,1.46545,4981.197
243,2018-01-06 02:00:00,1.46509,4905.524
244,2018-01-06 02:30:00,1.46491,4854.736
245,2018-01-06 03:00:00,1.44109,4801.423
246,2018-01-06 03:30:00,1.39018,4763.074
247,2018-01-06 04:00:00,1.37327,4748.681
248,2018-01-06 04:30:00,1.37327,4723.806
249,2018-01-06 05:00:00,1.37327,4734.999
250,2018-01-06 05:30:00,1.37345,4771.076
251,2018-01-06 06:00:00,1.37364,4830.701
252,2018-01-06 06:30:00,1.40291,4907.93
253,2018-01-06 07:00:00,1.40291,4978.862
254,2018-01-06 07:30:00,1.37582,5072.452
255,2018-01-06 08:00:00,1.46782,5261.471
256,2018-01-06 08:30:00,1.54927,5486.969
257,2018-01-06 09:00:00,1.46855,5661.864
258,2018-01-06 09:30:00,1.65236,5778.768
259,2018-01-06 10:00:00,1.65291,5874.182
260,2018-01-06 10:30:00,1.742,5944.006
261,2018-01-06 11:00:00,1.76909,5990.679
262,2018-01-06 11:30:00,1.72382,5996.38
263,2018-01-06 12:00:00,1.69564,5961.227
264,2018-01-06 12:30:00,1.704,5936.745
265,2018-01-06 13:00:00,1.69545,5894.892
266,2018-01-06 13:30:00,1.66491,5881.811
267,2018-01-06 14:00:00,1.60945,5873.889
268,2018-01-06 14:30:00,1.53582,5850.614
269,2018-01-06 15:00:00,1.53582,5826.848
270,2018-01-06 15:30:00,1.54018,5803.042
