,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-07-01 00:30:00,1.69164,5370.915
1,2018-07-01 01:00:00,1.63455,5263.538
2,2018-07-01 01:30:00,1.60636,5204.564
3,2018-07-01 02:00:00,1.64055,5133.921
4,2018-07-01 02:30:00,1.65036,5076.721
5,2018-07-01 03:00:00,1.634,5008.209
6,2018-07-01 03:30:00,1.60291,4970.765
7,2018-07-01 04:00:00,1.59364,4943.251
8,2018-07-01 04:30:00,1.56055,4916.508
9,2018-07-01 05:00:00,1.56236,4930.976
10,2018-07-01 05:30:00,1.59309,4952.516
11,2018-07-01 06:00:00,1.59709,5001.286
12,2018-07-01 06:30:00,1.59545,5016.176
13,2018-07-01 07:00:00,1.59382,5036.876
14,2018-07-01 07:30:00,1.58364,5076.264
15,2018-07-01 08:00:00,1.55473,5151.604
16,2018-07-01 08:30:00,1.59636,5276.341
17,2018-07-01 09:00:00,1.634,5378.489
18,2018-07-01 09:30:00,1.67182,5475.563
19,2018-07-01 10:00:00,1.82782,5575.142
20,2018-07-01 10:30:00,1.87891,5649.608
21,2018-07-01 11:00:00,1.71655,5680.312
22,2018-07-01 11:30:00,1.81182,5696.957
23,2018-07-01 12:00:00,1.68727,5681.396
24,2018-07-01 12:30:00,1.68545,5658.922
25,2018-07-01 13:00:00,1.67327,5646.303
26,2018-07-01 13:30:00,1.68236,5651.332
27,2018-07-01 14:00:00,1.68255,5658.057
28,2018-07-01 14:30:00,1.67236,5639.852
29,2018-07-01 15:00:00,1.67236,5625.618
30,2018-07-01 15:30:00,1.672,5623.958
31,2018-07-01 16:00:00,1.67091,5597.771
32,2018-07-01 16:30:00,1.67036,5587.746
33,2018-07-01 17:00:00,1.66582,5571.355
34,2018-07-01 17:30:00,1.67036,5569.581
35,2018-07-01 18:00:00,1.67036,5569.019
36,2018-07-01 18:30:00,1.66982,5595.122
37,2018-07-01 19:00:00,1.83055,5712.419
38,2018-07-01 19:30:00,1.91291,5806.535
39,2018-07-01 20:00:00,2.01764,5858.293
40,2018-07-01 20:30:00,2.03436,5874.545
41,2018-07-01 21:00:00,2.05236,5910.811
42,2018-07-01 21:30:00,2.03455,5906.313
43,2018-07-01 22:00:00,1.902,5824.785
44,2018-07-01 22:30:00,1.79836,5717.677
45,2018-07-01 23:00:00,1.65964,5604.883
46,2018-07-01 23:30:00,1.59491,5475.852
47,2018-07-02 00:00:00,1.54873,5348.57
48,2018-07-02 00:30:00,1.54455,5210.399
49,2018-07-02 01:00:00,1.54436,5101.68
50,2018-07-02 01:30:00,1.48618,5039.968
51,2018-07-02 02:00:00,1.52855,4966.988
52,2018-07-02 02:30:00,1.52218,4920.201
53,2018-07-02 03:00:00,1.37473,4867.171
54,2018-07-02 03:30:00,1.37382,4847.122
55,2018-07-02 04:00:00,1.28164,4827.962
56,2018-07-02 04:30:00,1.28164,4837.048
57,2018-07-02 05:00:00,1.28327,4859.572
58,2018-07-02 05:30:00,1.37491,4922.78
59,2018-07-02 06:00:00,1.53582,5068.938
60,2018-07-02 06:30:00,1.56909,5245.328
61,2018-07-02 07:00:00,1.59636,5424.308
62,2018-07-02 07:30:00,1.70909,5631.547
63,2018-07-02 08:00:00,1.76727,5916.949
64,2018-07-02 08:30:00,1.89055,6252.583
65,2018-07-02 09:00:00,2.03036,6431.95
66,2018-07-02 09:30:00,2.06727,6537.498
67,2018-07-02 10:00:00,2.08727,6588.078
68,2018-07-02 10:30:00,2.06418,6646.272
69,2018-07-02 11:00:00,2.03655,6688.606
70,2018-07-02 11:30:00,1.96145,6682.264
71,2018-07-02 12:00:00,1.88818,6628.37
72,2018-07-02 12:30:00,1.87127,6563.158
73,2018-07-02 13:00:00,1.87145,6582.139
74,2018-07-02 13:30:00,1.88636,6626.834
75,2018-07-02 14:00:00,1.88945,6649.8
76,2018-07-02 14:30:00,1.89018,6658.702
77,2018-07-02 15:00:00,1.89127,6655.556
78,2018-07-02 15:30:00,1.89127,6653.319
79,2018-07-02 16:00:00,1.89018,6655.928
80,2018-07-02 16:30:00,1.88982,6636.297
81,2018-07-02 17:00:00,1.87091,6569.252
82,2018-07-02 17:30:00,1.79473,6487.371
83,2018-07-02 18:00:00,1.68291,6362.077
84,2018-07-02 18:30:00,1.66455,6288.009
85,2018-07-02 19:00:00,1.71891,6318.386
86,2018-07-02 19:30:00,1.88309,6354.965
87,2018-07-02 20:00:00,1.90655,6354.344
88,2018-07-02 20:30:00,1.83636,6348.907
89,2018-07-02 21:00:00,1.96345,6310.906
90,2018-07-02 21:30:00,1.92473,6256.917
91,2018-07-02 22:00:00,1.852,6144.331
92,2018-07-02 22:30:00,1.71545,5999.938
93,2018-07-02 23:00:00,1.71127,5868.044
94,2018-07-02 23:30:00,1.676,5712.443
95,2018-07-03 00:00:00,1.69564,5591.469
96,2018-07-03 00:30:00,1.89309,5488.132
97,2018-07-03 01:00:00,1.81873,5371.472
98,2018-07-03 01:30:00,1.77055,5261.585
99,2018-07-03 02:00:00,1.81145,5189.833
100,2018-07-03 02:30:00,1.69109,5119.761
101,2018-07-03 03:00:00,1.68109,5089.35
102,2018-07-03 03:30:00,1.67182,5054.574
103,2018-07-03 04:00:00,1.67109,5032.388
104,2018-07-03 04:30:00,1.67127,5033.671
105,2018-07-03 05:00:00,1.67145,5054.112
106,2018-07-03 05:30:00,1.68073,5122.127
107,2018-07-03 06:00:00,1.67164,5248.593
108,2018-07-03 06:30:00,1.71836,5426.847
109,2018-07-03 07:00:00,1.862,5613.376
110,2018-07-03 07:30:00,1.67255,5817.301
111,2018-07-03 08:00:00,1.73945,6092.897
112,2018-07-03 08:30:00,1.89,6373.682
113,2018-07-03 09:00:00,1.95345,6546.956
114,2018-07-03 09:30:00,1.96382,6650.243
115,2018-07-03 10:00:00,1.98218,6685.386
116,2018-07-03 10:30:00,2.05255,6696.697
117,2018-07-03 11:00:00,2.05309,6706.105
118,2018-07-03 11:30:00,1.95455,6649.184
119,2018-07-03 12:00:00,1.91091,6587.288
120,2018-07-03 12:30:00,1.89364,6556.2
121,2018-07-03 13:00:00,1.93455,6607.665
122,2018-07-03 13:30:00,2.0,6686.444
123,2018-07-03 14:00:00,2.06673,6739.047
124,2018-07-03 14:30:00,2.05255,6717.835
125,2018-07-03 15:00:00,2.01873,6707.03
126,2018-07-03 15:30:00,2.01891,6704.888
127,2018-07-03 16:00:00,2.01873,6712.86
128,2018-07-03 16:30:00,1.99564,6689.625
129,2018-07-03 17:00:00,1.96491,6647.952
130,2018-07-03 17:30:00,1.92691,6591.651
131,2018-07-03 18:00:00,1.85818,6482.724
132,2018-07-03 18:30:00,1.74855,6418.442
133,2018-07-03 19:00:00,1.83582,6440.116
134,2018-07-03 19:30:00,1.88727,6454.966
135,2018-07-03 20:00:00,1.90564,6457.422
136,2018-07-03 20:30:00,1.92564,6444.013
137,2018-07-03 21:00:00,2.13964,6418.149
138,2018-07-03 21:30:00,2.08982,6341.924
139,2018-07-03 22:00:00,1.97,6212.117
140,2018-07-03 22:30:00,1.876,6062.719
141,2018-07-03 23:00:00,1.714,5889.982
142,2018-07-03 23:30:00,1.69109,5741.076
143,2018-07-04 00:00:00,1.64945,5549.557
144,2018-07-04 00:30:00,1.83545,5389.115
145,2018-07-04 01:00:00,1.764,5268.732
146,2018-07-04 01:30:00,1.77327,5204.594
147,2018-07-04 02:00:00,1.78655,5134.885
148,2018-07-04 02:30:00,1.76364,5089.449
149,2018-07-04 03:00:00,1.72636,5039.63
150,2018-07-04 03:30:00,1.71709,5013.587
151,2018-07-04 04:00:00,1.71709,4987.668
152,2018-07-04 04:30:00,1.71691,5000.029
153,2018-07-04 05:00:00,1.72636,5036.136
154,2018-07-04 05:30:00,1.742,5098.37
155,2018-07-04 06:00:00,1.74236,5227.312
156,2018-07-04 06:30:00,1.77364,5397.485
157,2018-07-04 07:00:00,1.88655,5584.153
158,2018-07-04 07:30:00,1.80291,5794.215
159,2018-07-04 08:00:00,1.89,6074.781
160,2018-07-04 08:30:00,2.06891,6358.374
161,2018-07-04 09:00:00,2.24145,6527.215
162,2018-07-04 09:30:00,2.45891,6627.699
163,2018-07-04 10:00:00,3.11564,6669.357
164,2018-07-04 10:30:00,3.41618,6726.314
165,2018-07-04 11:00:00,3.522,6744.742
166,2018-07-04 11:30:00,3.39782,6738.142
167,2018-07-04 12:00:00,2.36618,6677.588
168,2018-07-04 12:30:00,2.10509,6626.566
169,2018-07-04 13:00:00,2.08073,6661.564
170,2018-07-04 13:30:00,2.08764,6730.21
171,2018-07-04 14:00:00,2.10055,6763.3
172,2018-07-04 14:30:00,2.09218,6742.6
173,2018-07-04 15:00:00,2.06818,6726.229
174,2018-07-04 15:30:00,2.08945,6715.235
175,2018-07-04 16:00:00,2.08764,6735.255
176,2018-07-04 16:30:00,2.07527,6733.291
177,2018-07-04 17:00:00,2.01236,6690.569
178,2018-07-04 17:30:00,2.00364,6628.191
179,2018-07-04 18:00:00,1.92691,6515.332
180,2018-07-04 18:30:00,1.88909,6445.752
181,2018-07-04 19:00:00,1.88891,6451.825
182,2018-07-04 19:30:00,1.89673,6483.529
183,2018-07-04 20:00:00,1.89655,6462.317
184,2018-07-04 20:30:00,1.89418,6423.004
185,2018-07-04 21:00:00,2.05345,6386.609
186,2018-07-04 21:30:00,1.97582,6312.556
187,2018-07-04 22:00:00,1.93345,6204.25
188,2018-07-04 22:30:00,1.89455,6068.976
189,2018-07-04 23:00:00,1.79455,5945.531
190,2018-07-04 23:30:00,1.766,5797.192
191,2018-07-05 00:00:00,1.77564,5624.002
192,2018-07-05 00:30:00,1.88164,5462.293
193,2018-07-05 01:00:00,1.82255,5345.444
194,2018-07-05 01:30:00,1.83545,5283.135
195,2018-07-05 02:00:00,1.836,5197.532
196,2018-07-05 02:30:00,1.82055,5141.987
197,2018-07-05 03:00:00,2.01727,5080.414
198,2018-07-05 03:30:00,2.01691,5053.322
199,2018-07-05 04:00:00,1.902,5014.859
200,2018-07-05 04:30:00,1.90073,5008.751
201,2018-07-05 05:00:00,1.89109,5033.482
202,2018-07-05 05:30:00,1.84691,5103.077
203,2018-07-05 06:00:00,1.85418,5231.536
204,2018-07-05 06:30:00,1.974,5404.756
205,2018-07-05 07:00:00,1.97364,5577.115
206,2018-07-05 07:30:00,1.88545,5778.241
207,2018-07-05 08:00:00,2.08164,6055.841
208,2018-07-05 08:30:00,2.16564,6332.893
209,2018-07-05 09:00:00,2.31455,6514.557
210,2018-07-05 09:30:00,2.53636,6615.199
211,2018-07-05 10:00:00,2.53927,6676.698
212,2018-07-05 10:30:00,2.38309,6731.0
213,2018-07-05 11:00:00,4.08455,6754.409
214,2018-07-05 11:30:00,6.85036,6741.452
215,2018-07-05 12:00:00,2.20364,6675.734
216,2018-07-05 12:30:00,2.12382,6608.256
217,2018-07-05 13:00:00,2.16473,6641.754
218,2018-07-05 13:30:00,2.20382,6717.194
219,2018-07-05 14:00:00,2.35636,6766.814
220,2018-07-05 14:30:00,3.11909,6744.837
221,2018-07-05 15:00:00,3.11636,6737.019
222,2018-07-05 15:30:00,3.39255,6743.281
223,2018-07-05 16:00:00,3.39255,6748.569
224,2018-07-05 16:30:00,3.11582,6745.364
225,2018-07-05 17:00:00,2.20327,6718.59
226,2018-07-05 17:30:00,2.14164,6651.977
227,2018-07-05 18:00:00,1.97273,6529.432
228,2018-07-05 18:30:00,1.906,6444.892
229,2018-07-05 19:00:00,1.98055,6452.635
230,2018-07-05 19:30:00,2.15418,6473.753
231,2018-07-05 20:00:00,2.27364,6466.606
232,2018-07-05 20:30:00,2.33455,6436.488
233,2018-07-05 21:00:00,2.31582,6409.774
234,2018-07-05 21:30:00,2.20345,6353.494
235,2018-07-05 22:00:00,2.128,6251.321
236,2018-07-05 22:30:00,2.14673,6116.057
237,2018-07-05 23:00:00,2.10418,6000.694
238,2018-07-05 23:30:00,2.15309,5878.755
239,2018-07-06 00:00:00,2.16182,5729.784
240,2018-07-06 00:30:00,2.05055,5606.543
241,2018-07-06 01:00:00,2.03055,5491.77
242,2018-07-06 01:30:00,2.01527,5379.349
243,2018-07-06 02:00:00,2.00273,5305.579
244,2018-07-06 02:30:00,1.95709,5247.55
