,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-06-01 00:30:00,1.93945,5586.836
1,2018-06-01 01:00:00,1.864,5473.709
2,2018-06-01 01:30:00,1.81164,5353.609
3,2018-06-01 02:00:00,1.78218,5259.771
4,2018-06-01 02:30:00,1.81127,5191.622
5,2018-06-01 03:00:00,1.80327,5152.722
6,2018-06-01 03:30:00,1.796,5128.468
7,2018-06-01 04:00:00,1.794,5108.822
8,2018-06-01 04:30:00,1.74182,5105.889
9,2018-06-01 05:00:00,1.73636,5121.629
10,2018-06-01 05:30:00,1.79309,5179.818
11,2018-06-01 06:00:00,1.75455,5278.806
12,2018-06-01 06:30:00,1.81873,5426.917
13,2018-06-01 07:00:00,1.792,5552.663
14,2018-06-01 07:30:00,1.72691,5716.623
15,2018-06-01 08:00:00,1.81164,5997.174
16,2018-06-01 08:30:00,1.88291,6312.675
17,2018-06-01 09:00:00,1.93964,6515.327
18,2018-06-01 09:30:00,1.92218,6584.365
19,2018-06-01 10:00:00,1.872,6630.671
20,2018-06-01 10:30:00,1.90873,6684.6
21,2018-06-01 11:00:00,1.93927,6717.427
22,2018-06-01 11:30:00,1.92691,6711.408
23,2018-06-01 12:00:00,1.86691,6653.06
24,2018-06-01 12:30:00,1.86655,6613.832
25,2018-06-01 13:00:00,1.88418,6651.967
26,2018-06-01 13:30:00,1.90855,6695.3
27,2018-06-01 14:00:00,2.01745,6747.227
28,2018-06-01 14:30:00,2.01745,6758.211
29,2018-06-01 15:00:00,2.01727,6754.97
30,2018-06-01 15:30:00,2.01745,6743.832
31,2018-06-01 16:00:00,1.97582,6722.044
32,2018-06-01 16:30:00,1.95927,6710.36
33,2018-06-01 17:00:00,1.93945,6672.453
34,2018-06-01 17:30:00,1.88145,6592.894
35,2018-06-01 18:00:00,1.79891,6462.282
36,2018-06-01 18:30:00,1.78964,6368.508
37,2018-06-01 19:00:00,1.79309,6380.635
38,2018-06-01 19:30:00,1.79945,6382.394
39,2018-06-01 20:00:00,1.80709,6363.891
40,2018-06-01 20:30:00,1.78691,6322.367
41,2018-06-01 21:00:00,1.85255,6269.451
42,2018-06-01 21:30:00,1.79745,6207.659
43,2018-06-01 22:00:00,1.78727,6108.04
44,2018-06-01 22:30:00,1.81055,5977.414
45,2018-06-01 23:00:00,1.80655,5872.413
46,2018-06-01 23:30:00,1.81236,5767.496
47,2018-06-02 00:00:00,1.88745,5647.346
48,2018-06-02 00:30:00,2.04982,5541.351
49,2018-06-02 01:00:00,1.95345,5426.345
50,2018-06-02 01:30:00,1.86418,5350.23
51,2018-06-02 02:00:00,1.79945,5268.195
52,2018-06-02 02:30:00,1.79909,5205.965
53,2018-06-02 03:00:00,1.78927,5145.893
54,2018-06-02 03:30:00,1.72218,5090.448
55,2018-06-02 04:00:00,1.722,5086.347
56,2018-06-02 04:30:00,1.73727,5078.863
57,2018-06-02 05:00:00,1.72109,5087.098
58,2018-06-02 05:30:00,1.72164,5091.198
59,2018-06-02 06:00:00,1.78055,5182.035
60,2018-06-02 06:30:00,1.78073,5255.67
61,2018-06-02 07:00:00,1.74891,5240.641
62,2018-06-02 07:30:00,1.72364,5288.169
63,2018-06-02 08:00:00,1.86455,5465.678
64,2018-06-02 08:30:00,2.04982,5702.752
65,2018-06-02 09:00:00,1.90291,5860.42
66,2018-06-02 09:30:00,1.95655,5975.301
67,2018-06-02 10:00:00,2.04891,6061.178
68,2018-06-02 10:30:00,2.05055,6113.134
69,2018-06-02 11:00:00,2.05018,6133.745
70,2018-06-02 11:30:00,2.04309,6120.709
71,2018-06-02 12:00:00,1.90782,6076.809
72,2018-06-02 12:30:00,1.86545,6024.122
73,2018-06-02 13:00:00,1.85655,5990.211
74,2018-06-02 13:30:00,1.85273,5965.61
75,2018-06-02 14:00:00,1.85527,5964.919
76,2018-06-02 14:30:00,1.85273,5953.215
77,2018-06-02 15:00:00,1.79727,5930.596
78,2018-06-02 15:30:00,1.85291,5923.286
79,2018-06-02 16:00:00,1.85309,5917.704
80,2018-06-02 16:30:00,1.85291,5906.303
81,2018-06-02 17:00:00,1.79636,5888.714
82,2018-06-02 17:30:00,1.79364,5870.141
83,2018-06-02 18:00:00,1.79418,5861.881
84,2018-06-02 18:30:00,1.88127,5881.17
85,2018-06-02 19:00:00,1.95418,5945.67
86,2018-06-02 19:30:00,2.05036,6024.107
87,2018-06-02 20:00:00,2.05236,6051.382
88,2018-06-02 20:30:00,2.08927,6068.027
89,2018-06-02 21:00:00,2.08927,6060.547
90,2018-06-02 21:30:00,2.05036,6013.516
91,2018-06-02 22:00:00,2.05036,5942.052
92,2018-06-02 22:30:00,2.088,5860.34
93,2018-06-02 23:00:00,2.126,5776.73
94,2018-06-02 23:30:00,2.04945,5677.951
95,2018-06-03 00:00:00,2.00473,5542.628
96,2018-06-03 00:30:00,1.84818,5416.117
97,2018-06-03 01:00:00,1.78182,5313.675
98,2018-06-03 01:30:00,1.77782,5246.983
99,2018-06-03 02:00:00,1.74673,5177.269
100,2018-06-03 02:30:00,1.61018,5100.472
101,2018-06-03 03:00:00,1.60491,5053.381
102,2018-06-03 03:30:00,1.56745,5001.872
103,2018-06-03 04:00:00,1.56527,4973.086
104,2018-06-03 04:30:00,1.55855,4952.928
105,2018-06-03 05:00:00,1.55855,4955.512
106,2018-06-03 05:30:00,1.56545,4990.203
107,2018-06-03 06:00:00,1.55855,5039.833
108,2018-06-03 06:30:00,1.51436,5060.21
109,2018-06-03 07:00:00,1.52545,5073.903
110,2018-06-03 07:30:00,1.52527,5107.336
111,2018-06-03 08:00:00,1.58818,5197.516
112,2018-06-03 08:30:00,1.61927,5304.292
113,2018-06-03 09:00:00,1.79018,5436.832
114,2018-06-03 09:30:00,1.85345,5550.988
115,2018-06-03 10:00:00,1.93091,5644.001
116,2018-06-03 10:30:00,2.05055,5734.252
117,2018-06-03 11:00:00,2.05073,5782.595
118,2018-06-03 11:30:00,2.04964,5779.667
119,2018-06-03 12:00:00,2.05018,5779.976
120,2018-06-03 12:30:00,1.99582,5751.005
121,2018-06-03 13:00:00,1.99436,5752.959
122,2018-06-03 13:30:00,2.00145,5786.809
123,2018-06-03 14:00:00,2.05,5796.918
124,2018-06-03 14:30:00,2.00055,5793.047
125,2018-06-03 15:00:00,1.99673,5784.414
126,2018-06-03 15:30:00,2.02091,5782.605
127,2018-06-03 16:00:00,2.04836,5781.342
128,2018-06-03 16:30:00,2.04927,5778.325
129,2018-06-03 17:00:00,2.04964,5780.482
130,2018-06-03 17:30:00,2.05,5795.472
131,2018-06-03 18:00:00,2.03291,5761.552
132,2018-06-03 18:30:00,2.05982,5815.849
133,2018-06-03 19:00:00,2.19782,5919.106
134,2018-06-03 19:30:00,3.19655,5995.808
135,2018-06-03 20:00:00,4.54564,6032.024
136,2018-06-03 20:30:00,4.65473,6040.036
137,2018-06-03 21:00:00,4.85527,6079.264
138,2018-06-03 21:30:00,4.86527,6081.769
139,2018-06-03 22:00:00,4.364,6028.764
140,2018-06-03 22:30:00,2.29691,5931.193
141,2018-06-03 23:00:00,2.12673,5844.526
142,2018-06-03 23:30:00,2.12109,5719.858
143,2018-06-04 00:00:00,2.04945,5604.216
144,2018-06-04 00:30:00,1.98909,5477.074
