,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-03-01 00:30:00,1.62055,5363.236
1,2018-03-01 01:00:00,1.61418,5248.255
2,2018-03-01 01:30:00,1.57782,5133.896
3,2018-03-01 02:00:00,1.5,5049.093
4,2018-03-01 02:30:00,1.46727,5003.329
5,2018-03-01 03:00:00,1.42018,4938.078
6,2018-03-01 03:30:00,1.41327,4916.443
7,2018-03-01 04:00:00,1.39255,4887.712
8,2018-03-01 04:30:00,1.39236,4878.532
9,2018-03-01 05:00:00,1.40455,4910.276
10,2018-03-01 05:30:00,1.42036,4989.01
11,2018-03-01 06:00:00,1.48927,5139.716
12,2018-03-01 06:30:00,1.614,5315.902
13,2018-03-01 07:00:00,1.61473,5471.781
14,2018-03-01 07:30:00,1.44436,5653.554
15,2018-03-01 08:00:00,1.488,5907.978
16,2018-03-01 08:30:00,1.62836,6188.768
17,2018-03-01 09:00:00,1.56055,6358.578
18,2018-03-01 09:30:00,1.59727,6448.759
19,2018-03-01 10:00:00,1.61564,6521.187
20,2018-03-01 10:30:00,1.62855,6586.328
21,2018-03-01 11:00:00,1.63964,6627.465
22,2018-03-01 11:30:00,1.63964,6623.524
23,2018-03-01 12:00:00,1.62836,6577.045
24,2018-03-01 12:30:00,1.62109,6546.708
25,2018-03-01 13:00:00,1.62891,6565.961
26,2018-03-01 13:30:00,1.63255,6617.709
27,2018-03-01 14:00:00,1.64018,6656.485
28,2018-03-01 14:30:00,1.64418,6670.515
29,2018-03-01 15:00:00,1.64418,6663.637
30,2018-03-01 15:30:00,1.67945,6659.363
31,2018-03-01 16:00:00,1.64418,6657.071
32,2018-03-01 16:30:00,1.64018,6647.002
33,2018-03-01 17:00:00,1.63473,6617.724
34,2018-03-01 17:30:00,1.62091,6542.99
35,2018-03-01 18:00:00,1.61582,6427.492
36,2018-03-01 18:30:00,1.56073,6330.13
37,2018-03-01 19:00:00,1.59182,6330.1
38,2018-03-01 19:30:00,1.59273,6347.063
39,2018-03-01 20:00:00,1.61636,6334.091
40,2018-03-01 20:30:00,1.61673,6288.466
41,2018-03-01 21:00:00,1.79873,6242.057
42,2018-03-01 21:30:00,1.76982,6164.296
43,2018-03-01 22:00:00,1.72036,6030.509
44,2018-03-01 22:30:00,1.63236,5882.994
45,2018-03-01 23:00:00,1.59564,5751.965
46,2018-03-01 23:30:00,1.48891,5617.964
47,2018-03-02 00:00:00,1.42109,5456.081
48,2018-03-02 00:30:00,1.61418,5317.353
49,2018-03-02 01:00:00,1.578,5202.775
50,2018-03-02 01:30:00,1.57564,5139.74
51,2018-03-02 02:00:00,1.52,5069.166
52,2018-03-02 02:30:00,1.48927,5021.648
53,2018-03-02 03:00:00,1.47636,4968.146
54,2018-03-02 03:30:00,1.46745,4932.571
55,2018-03-02 04:00:00,1.46745,4923.585
56,2018-03-02 04:30:00,1.46764,4920.822
57,2018-03-02 05:00:00,1.47018,4951.566
58,2018-03-02 05:30:00,1.61382,5043.228
59,2018-03-02 06:00:00,1.62564,5203.694
60,2018-03-02 06:30:00,1.70655,5361.765
61,2018-03-02 07:00:00,1.72455,5511.099
62,2018-03-02 07:30:00,1.56018,5666.531
63,2018-03-02 08:00:00,1.69091,5977.25
64,2018-03-02 08:30:00,1.72927,6231.808
65,2018-03-02 09:00:00,1.70691,6424.093
66,2018-03-02 09:30:00,1.73691,6502.664
67,2018-03-02 10:00:00,1.73855,6558.064
68,2018-03-02 10:30:00,1.76636,6619.304
69,2018-03-02 11:00:00,1.76764,6657.757
70,2018-03-02 11:30:00,1.73745,6660.053
71,2018-03-02 12:00:00,1.69673,6609.012
72,2018-03-02 12:30:00,1.63291,6535.187
73,2018-03-02 13:00:00,1.63218,6555.241
74,2018-03-02 13:30:00,1.72255,6619.135
75,2018-03-02 14:00:00,1.73818,6658.92
76,2018-03-02 14:30:00,1.72945,6648.886
77,2018-03-02 15:00:00,1.73291,6656.5
78,2018-03-02 15:30:00,1.73836,6658.861
79,2018-03-02 16:00:00,1.73836,6668.209
80,2018-03-02 16:30:00,1.73091,6649.457
81,2018-03-02 17:00:00,1.694,6610.572
82,2018-03-02 17:30:00,1.62145,6538.279
83,2018-03-02 18:00:00,1.72018,6399.531
84,2018-03-02 18:30:00,1.63436,6305.946
85,2018-03-02 19:00:00,1.66055,6291.926
