,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-05-01 00:30:00,1.83109,5531.819
1,2018-05-01 01:00:00,1.77291,5434.407
2,2018-05-01 01:30:00,1.83564,5403.26
3,2018-05-01 02:00:00,1.81927,5320.798
4,2018-05-01 02:30:00,1.73891,5243.41
5,2018-05-01 03:00:00,1.70127,5176.061
6,2018-05-01 03:30:00,1.68618,5125.293
7,2018-05-01 04:00:00,1.68618,5088.127
8,2018-05-01 04:30:00,1.66782,5051.359
9,2018-05-01 05:00:00,1.66764,5060.847
10,2018-05-01 05:30:00,1.65109,5090.219
11,2018-05-01 06:00:00,1.66964,5138.389
12,2018-05-01 06:30:00,1.66964,5149.71
13,2018-05-01 07:00:00,1.66964,5177.423
14,2018-05-01 07:30:00,1.66782,5229.151
15,2018-05-01 08:00:00,1.55055,5314.52
16,2018-05-01 08:30:00,1.55036,5424.367
17,2018-05-01 09:00:00,1.65364,5540.094
18,2018-05-01 09:30:00,1.71436,5651.631
19,2018-05-01 10:00:00,1.75255,5747.497
20,2018-05-01 10:30:00,1.77982,5809.403
21,2018-05-01 11:00:00,1.75236,5857.876
22,2018-05-01 11:30:00,1.72055,5815.884
23,2018-05-01 12:00:00,1.71491,5791.909
24,2018-05-01 12:30:00,1.65564,5754.455
25,2018-05-01 13:00:00,1.65673,5760.016
26,2018-05-01 13:30:00,1.71455,5791.064
27,2018-05-01 14:00:00,1.71473,5795.661
28,2018-05-01 14:30:00,1.72091,5810.432
29,2018-05-01 15:00:00,1.72636,5799.498
30,2018-05-01 15:30:00,1.67564,5779.027
31,2018-05-01 16:00:00,1.664,5758.49
32,2018-05-01 16:30:00,1.66455,5742.537
33,2018-05-01 17:00:00,1.66436,5721.081
34,2018-05-01 17:30:00,1.664,5717.652
35,2018-05-01 18:00:00,1.65491,5712.24
36,2018-05-01 18:30:00,1.66455,5756.179
37,2018-05-01 19:00:00,1.80782,5862.766
38,2018-05-01 19:30:00,2.23891,5943.404
39,2018-05-01 20:00:00,2.37091,5998.392
40,2018-05-01 20:30:00,4.31382,6011.285
41,2018-05-01 21:00:00,4.27291,6049.608
42,2018-05-01 21:30:00,4.27291,6040.558
43,2018-05-01 22:00:00,2.23945,5957.151
44,2018-05-01 22:30:00,1.78018,5838.995
45,2018-05-01 23:00:00,1.73218,5717.577
46,2018-05-01 23:30:00,1.83036,5609.102
47,2018-05-02 00:00:00,1.77127,5519.394
48,2018-05-02 00:30:00,1.75291,5409.88
49,2018-05-02 01:00:00,1.71582,5287.146
50,2018-05-02 01:30:00,1.66491,5160.485
51,2018-05-02 02:00:00,1.75218,5098.216
52,2018-05-02 02:30:00,1.74109,5036.866
53,2018-05-02 03:00:00,1.71491,4996.52
54,2018-05-02 03:30:00,1.68345,4951.705
55,2018-05-02 04:00:00,1.56836,4925.131
56,2018-05-02 04:30:00,1.55,4930.2
57,2018-05-02 05:00:00,1.564,4950.528
58,2018-05-02 05:30:00,1.65455,5015.257
59,2018-05-02 06:00:00,1.72182,5150.217
60,2018-05-02 06:30:00,1.65491,5330.936
61,2018-05-02 07:00:00,1.70582,5517.595
62,2018-05-02 07:30:00,1.56927,5715.207
63,2018-05-02 08:00:00,1.69509,6002.865
64,2018-05-02 08:30:00,1.77236,6284.918
65,2018-05-02 09:00:00,1.80782,6489.632
66,2018-05-02 09:30:00,1.84618,6630.224
67,2018-05-02 10:00:00,1.83218,6695.649
68,2018-05-02 10:30:00,1.84709,6769.359
69,2018-05-02 11:00:00,1.83873,6825.231
70,2018-05-02 11:30:00,1.81709,6805.247
71,2018-05-02 12:00:00,1.78055,6758.524
72,2018-05-02 12:30:00,1.75509,6697.398
73,2018-05-02 13:00:00,1.77891,6724.519
74,2018-05-02 13:30:00,1.80927,6788.632
75,2018-05-02 14:00:00,1.83473,6831.429
76,2018-05-02 14:30:00,1.84709,6852.999
