,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-11-01 00:30:00,2.01582,5305.788
1,2018-11-01 01:00:00,1.97727,5197.343
2,2018-11-01 01:30:00,1.976,5149.477
3,2018-11-01 02:00:00,1.89273,5081.671
4,2018-11-01 02:30:00,1.86873,5026.245
5,2018-11-01 03:00:00,1.86836,4981.123
6,2018-11-01 03:30:00,1.86564,4953.713
7,2018-11-01 04:00:00,1.85018,4927.561
8,2018-11-01 04:30:00,1.85018,4926.006
9,2018-11-01 05:00:00,1.86764,4959.553
10,2018-11-01 05:30:00,1.86855,5032.219
11,2018-11-01 06:00:00,1.94727,5171.404
12,2018-11-01 06:30:00,1.98145,5361.691
13,2018-11-01 07:00:00,1.99182,5539.224
14,2018-11-01 07:30:00,2.09364,5752.402
15,2018-11-01 08:00:00,2.17345,6023.347
16,2018-11-01 08:30:00,2.33982,6293.511
17,2018-11-01 09:00:00,2.442,6468.614
18,2018-11-01 09:30:00,2.44273,6567.159
19,2018-11-01 10:00:00,2.42418,6623.131
20,2018-11-01 10:30:00,3.54491,6667.812
21,2018-11-01 11:00:00,5.52145,6698.129
22,2018-11-01 11:30:00,3.70382,6693.248
23,2018-11-01 12:00:00,2.42418,6630.069
24,2018-11-01 12:30:00,2.36873,6586.736
25,2018-11-01 13:00:00,2.36873,6588.615
26,2018-11-01 13:30:00,2.42418,6622.6
27,2018-11-01 14:00:00,2.992,6640.094
28,2018-11-01 14:30:00,2.61236,6643.488
29,2018-11-01 15:00:00,2.51964,6609.742
30,2018-11-01 15:30:00,2.42382,6589.142
31,2018-11-01 16:00:00,2.33073,6563.71
32,2018-11-01 16:30:00,2.33,6542.056
33,2018-11-01 17:00:00,2.31127,6491.541
34,2018-11-01 17:30:00,2.19,6412.055
35,2018-11-01 18:00:00,2.09764,6301.195
36,2018-11-01 18:30:00,1.99073,6237.072
37,2018-11-01 19:00:00,1.97618,6276.558
38,2018-11-01 19:30:00,1.97855,6300.891
39,2018-11-01 20:00:00,2.01964,6281.931
40,2018-11-01 20:30:00,2.17273,6251.182
41,2018-11-01 21:00:00,2.30855,6202.749
42,2018-11-01 21:30:00,2.27273,6134.724
43,2018-11-01 22:00:00,2.36745,6012.234
44,2018-11-01 22:30:00,2.30036,5870.35
45,2018-11-01 23:00:00,2.17345,5740.216
46,2018-11-01 23:30:00,2.02055,5597.06
47,2018-11-02 00:00:00,1.91964,5450.122
48,2018-11-02 00:30:00,1.97655,5305.684
49,2018-11-02 01:00:00,1.90745,5207.516
50,2018-11-02 01:30:00,1.86909,5123.807
51,2018-11-02 02:00:00,1.83145,5061.935
52,2018-11-02 02:30:00,1.80909,5015.853
53,2018-11-02 03:00:00,1.75291,4963.112
54,2018-11-02 03:30:00,1.72745,4931.84
