,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-10-01 00:30:00,2.09273,5595.241
1,2018-10-01 01:00:00,1.95455,5476.82
2,2018-10-01 01:30:00,1.95436,5358.619
3,2018-10-01 02:00:00,1.94418,5281.42
4,2018-10-01 02:30:00,1.942,5219.881
5,2018-10-01 03:00:00,1.93,5165.082
6,2018-10-01 03:30:00,1.93,5145.152
7,2018-10-01 04:00:00,1.96818,5122.797
8,2018-10-01 04:30:00,1.92873,5114.184
9,2018-10-01 05:00:00,1.94182,5144.258
10,2018-10-01 05:30:00,1.92891,5226.074
11,2018-10-01 06:00:00,1.96964,5389.368
12,2018-10-01 06:30:00,2.09291,5578.029
13,2018-10-01 07:00:00,2.13,5779.091
14,2018-10-01 07:30:00,1.968,5982.732
15,2018-10-01 08:00:00,2.14327,6266.25
16,2018-10-01 08:30:00,2.51455,6550.097
17,2018-10-01 09:00:00,5.43582,6719.38
18,2018-10-01 09:30:00,6.29891,6845.36
19,2018-10-01 10:00:00,7.25018,6882.908
20,2018-10-01 10:30:00,8.49818,6957.915
21,2018-10-01 11:00:00,11.81236,6978.678
22,2018-10-01 11:30:00,11.98655,6969.644
23,2018-10-01 12:00:00,10.15164,6894.448
24,2018-10-01 12:30:00,7.99818,6855.717
25,2018-10-01 13:00:00,9.26182,6879.305
26,2018-10-01 13:30:00,13.47927,6949.257
27,2018-10-01 14:00:00,16.39945,6992.442
28,2018-10-01 14:30:00,16.39982,6990.936
29,2018-10-01 15:00:00,16.39782,6979.52
30,2018-10-01 15:30:00,13.47673,6968.213
31,2018-10-01 16:00:00,13.46327,6957.001
32,2018-10-01 16:30:00,14.92309,6970.961
33,2018-10-01 17:00:00,12.24236,6938.502
34,2018-10-01 17:30:00,7.99891,6887.729
35,2018-10-01 18:00:00,5.824,6758.847
36,2018-10-01 18:30:00,3.09636,6694.888
37,2018-10-01 19:00:00,2.53782,6716.284
38,2018-10-01 19:30:00,2.66764,6707.616
39,2018-10-01 20:00:00,2.55073,6668.925
