,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-09-01 00:30:00,1.78091,5516.442
1,2018-09-01 01:00:00,1.68491,5410.561
2,2018-09-01 01:30:00,1.67455,5280.854
3,2018-09-01 02:00:00,1.76091,5197.666
4,2018-09-01 02:30:00,1.72455,5130.163
5,2018-09-01 03:00:00,1.65945,5066.259
6,2018-09-01 03:30:00,1.62018,5023.199
7,2018-09-01 04:00:00,1.57164,4986.058
8,2018-09-01 04:30:00,1.57145,4959.921
9,2018-09-01 05:00:00,1.56455,4961.68
10,2018-09-01 05:30:00,1.57509,5008.15
11,2018-09-01 06:00:00,1.61309,5068.456
12,2018-09-01 06:30:00,1.65582,5143.468
13,2018-09-01 07:00:00,1.65982,5198.57
14,2018-09-01 07:30:00,1.65091,5280.595
15,2018-09-01 08:00:00,1.65673,5461.811
16,2018-09-01 08:30:00,1.80564,5677.022
17,2018-09-01 09:00:00,1.84582,5845.928
18,2018-09-01 09:30:00,1.92982,5957.022
19,2018-09-01 10:00:00,2.05,6057.406
20,2018-09-01 10:30:00,2.23309,6141.255
21,2018-09-01 11:00:00,2.23327,6173.391
22,2018-09-01 11:30:00,2.26782,6173.123
23,2018-09-01 12:00:00,2.15564,6144.023
24,2018-09-01 12:30:00,2.06145,6090.511
25,2018-09-01 13:00:00,2.02655,6049.683
26,2018-09-01 13:30:00,2.02145,6036.582
27,2018-09-01 14:00:00,1.99873,6015.927
28,2018-09-01 14:30:00,1.97036,6001.27
29,2018-09-01 15:00:00,1.93673,5984.133
30,2018-09-01 15:30:00,1.92327,5976.147
31,2018-09-01 16:00:00,1.92364,5977.668
32,2018-09-01 16:30:00,1.92291,5948.071
33,2018-09-01 17:00:00,1.91345,5917.908
34,2018-09-01 17:30:00,1.846,5860.271
35,2018-09-01 18:00:00,1.826,5815.258
36,2018-09-01 18:30:00,1.84636,5841.872
37,2018-09-01 19:00:00,1.92309,5922.953
38,2018-09-01 19:30:00,1.97073,5973.259
39,2018-09-01 20:00:00,1.95764,5966.192
40,2018-09-01 20:30:00,1.99855,5985.957
41,2018-09-01 21:00:00,1.97073,5989.774
42,2018-09-01 21:30:00,1.95727,5976.36
43,2018-09-01 22:00:00,1.85673,5894.833
44,2018-09-01 22:30:00,1.74309,5805.75
45,2018-09-01 23:00:00,1.69727,5732.96
46,2018-09-01 23:30:00,1.67018,5635.389
47,2018-09-02 00:00:00,1.73982,5572.757
48,2018-09-02 00:30:00,1.78109,5498.545
49,2018-09-02 01:00:00,1.74055,5388.126
50,2018-09-02 01:30:00,1.68709,5216.641
51,2018-09-02 02:00:00,1.74182,5152.329
52,2018-09-02 02:30:00,1.73709,5092.327
53,2018-09-02 03:00:00,1.72109,5043.168
54,2018-09-02 03:30:00,1.66582,5001.569
55,2018-09-02 04:00:00,1.62036,4972.763
56,2018-09-02 04:30:00,1.61109,4939.211
57,2018-09-02 05:00:00,1.57491,4935.623
58,2018-09-02 05:30:00,1.61091,4952.053
59,2018-09-02 06:00:00,1.61291,4987.34
60,2018-09-02 06:30:00,1.61309,5026.797
61,2018-09-02 07:00:00,1.61127,5058.595
62,2018-09-02 07:30:00,1.61327,5076.532
63,2018-09-02 08:00:00,1.61164,5180.708
64,2018-09-02 08:30:00,1.65055,5295.525
65,2018-09-02 09:00:00,1.73491,5421.843
66,2018-09-02 09:30:00,1.73182,5515.959
67,2018-09-02 10:00:00,1.754,5626.383
68,2018-09-02 10:30:00,1.826,5689.353
69,2018-09-02 11:00:00,1.738,5721.663
70,2018-09-02 11:30:00,1.69873,5699.154
71,2018-09-02 12:00:00,1.69527,5674.532
72,2018-09-02 12:30:00,1.676,5638.858
