,DATE,Grams of gold / MWh,DEMAND (MW)
0,2018-04-01 00:30:00,1.9218000000000002,5155.615
1,2018-04-01 01:00:00,1.9216,5058.203
2,2018-04-01 01:30:00,1.9058000000000002,5005.943
3,2018-04-01 02:00:00,1.8903999999999999,4938.585
4,2018-04-01 02:30:00,1.8763999999999998,4878.741
5,2018-04-01 03:00:00,1.8496000000000001,4842.768
6,2018-04-01 03:30:00,1.8406,4797.849
7,2018-04-01 04:00:00,1.8134000000000001,4773.456
8,2018-04-01 04:30:00,1.8030000000000002,4746.966
9,2018-04-01 05:00:00,1.8037999999999998,4752.881
10,2018-04-01 05:30:00,1.814,4792.576
11,2018-04-01 06:00:00,1.8492,4844.135
12,2018-04-01 06:30:00,1.8492,4862.201
13,2018-04-01 07:00:00,1.8606,4896.812
14,2018-04-01 07:30:00,1.8496000000000001,4947.073
15,2018-04-01 08:00:00,1.8768,5032.021
16,2018-04-01 08:30:00,1.876,5146.36
17,2018-04-01 09:00:00,1.8912,5260.69
18,2018-04-01 09:30:00,1.9154,5371.188
19,2018-04-01 10:00:00,1.973,5463.074
20,2018-04-01 10:30:00,2.278,5535.034
21,2018-04-01 11:00:00,1.9184,5568.721
22,2018-04-01 11:30:00,1.9344,5585.077
23,2018-04-01 12:00:00,1.8903999999999999,5561.862
24,2018-04-01 12:30:00,1.9125999999999999,5559.526
25,2018-04-01 13:00:00,1.8906,5565.714
26,2018-04-01 13:30:00,1.8906,5591.518
27,2018-04-01 14:00:00,1.913,5613.342
28,2018-04-01 14:30:00,1.9128,5607.701
29,2018-04-01 15:00:00,1.8906,5621.587
30,2018-04-01 15:30:00,1.923,5608.884
31,2018-04-01 16:00:00,1.8908,5600.484
32,2018-04-01 16:30:00,1.891,5604.525
33,2018-04-01 17:00:00,1.8906,5572.538
34,2018-04-01 17:30:00,1.8908,5557.101
35,2018-04-01 18:00:00,1.8903999999999999,5530.576
36,2018-04-01 18:30:00,1.8903999999999999,5561.495
37,2018-04-01 19:00:00,1.9342,5642.506
38,2018-04-01 19:30:00,2.6788,5718.557
39,2018-04-01 20:00:00,2.984,5752.477
40,2018-04-01 20:30:00,3.0524,5756.199
41,2018-04-01 21:00:00,3.4042000000000003,5784.175
42,2018-04-01 21:30:00,3.4539999999999997,5773.49
43,2018-04-01 22:00:00,2.7088,5678.767
44,2018-04-01 22:30:00,1.9278,5553.751
45,2018-04-01 23:00:00,1.8858000000000001,5458.203
46,2018-04-01 23:30:00,1.8884,5326.926
47,2018-04-02 00:00:00,1.8778,5196.433
48,2018-04-02 00:30:00,1.8766,5054.271
49,2018-04-02 01:00:00,1.8763999999999998,4959.513
50,2018-04-02 01:30:00,1.8744,4909.54
51,2018-04-02 02:00:00,1.8776,4848.866
52,2018-04-02 02:30:00,1.8703999999999998,4799.604
53,2018-04-02 03:00:00,1.8488,4763.049
54,2018-04-02 03:30:00,1.8436000000000001,4734.924
55,2018-04-02 04:00:00,1.8436000000000001,4726.594
56,2018-04-02 04:30:00,1.8004,4729.392
57,2018-04-02 05:00:00,1.751,4757.359
58,2018-04-02 05:30:00,1.7331999999999999,4858.056
59,2018-04-02 06:00:00,1.7516,5012.787
60,2018-04-02 06:30:00,1.8354,5205.658
61,2018-04-02 07:00:00,1.8502,5385.626
62,2018-04-02 07:30:00,1.6466,5591.717
63,2018-04-02 08:00:00,1.7774,5872.845
64,2018-04-02 08:30:00,1.8932,6158.635
65,2018-04-02 09:00:00,1.8497999999999999,6346.63
66,2018-04-02 09:30:00,1.8847999999999998,6455.791
67,2018-04-02 10:00:00,1.9356,6550.44
68,2018-04-02 10:30:00,1.949,6616.104
69,2018-04-02 11:00:00,1.9674,6656.087
70,2018-04-02 11:30:00,1.92,6626.914
71,2018-04-02 12:00:00,1.9047999999999998,6573.685
72,2018-04-02 12:30:00,1.854,6516.858
73,2018-04-02 13:00:00,1.84,6548.919
74,2018-04-02 13:30:00,1.8534,6603.495
75,2018-04-02 14:00:00,1.8946,6648.339
76,2018-04-02 14:30:00,1.899,6673.169
