DateTime,Day,Holiday
2018-01-01,1.0,New Year's Day
2018-02-16,5.0,Chinese New Year
2018-02-17,6.0,Chinese New Year
2018-03-30,5.0,Good Friday
2018-05-01,2.0,Labour Day
2018-05-29,2.0,Vesak Day
2018-06-15,5.0,Hari Raya Puasa
2018-08-09,4.0,National Day
2018-08-21,2.0,Hari Raya Haji
2018-11-06,2.0,Deepavali
2018-12-25,2.0,Christmas Day
,,
2019-01-01,2.0,New Year's Day
2019-02-05,2.0,Chinese New Year
2019-02-06,3.0,Chinese New Year
2019-04-19,5.0,Good Friday
2019-05-01,3.0,Labour Day
2019-05-19,7.0,Vesak Day
2019-05-20,1.0,Vesak Day
2019-06-04,2.0,Hari Raya Puasa
2019-08-09,5.0,National Day
2019-08-11,7.0,Hari Raya Haji
2019-10-27,7.0,Deepavali
2019-10-28,1.0,Deepavali
2019-12-25,3.0,Christmas Day
,,
2020-01-01,3.0,New Year's Day
2020-01-25,6.0,Chinese New Year
2020-01-26,7.0,Chinese New Year
2020-01-27,1.0,Chinese New Year (substitute day)
2020-04-10,5.0,Good Friday
2020-05-01,5.0,Labour Day
2020-05-07,4.0,Vesak Day
2020-05-24,7.0,Hari Raya Puasa
2020-07-31,5.0,Hari Raya Haji
2020-08-09,7.0,National Day
2020-08-10,1.0,National Day (substitute day)
2020-11-14,6.0,Deepavali
2020-12-25,5.0,Christmas Day
,,
2021-01-01,5.0,New Year's Day
2021-02-12,5.0,Chinese New Year
2021-02-13,6.0,Chinese New Year
2021-04-02,5.0,Good Friday
2021-05-01,6.0,Labour Day
2021-05-13,4.0,Hari Raya Puasa
2021-05-26,3.0,Vesak Day
2021-07-20,2.0,Hari Raya Haji
2021-08-09,1.0,National Day
2021-11-04,4.0,Deepavali
2021-12-25,6.0,Christmas Day
,,
2022-01-01,6.0,New Year's Day
2022-02-01,2.0,Chinese New Year
2022-02-02,3.0,Chinese New Year
2022-04-15,5.0,Good Friday
2022-05-01,7.0,Labour Day
2022-05-02,1.0,Labour Day (substitute day)
2022-05-03,2.0,Hari Raya Puasa
2022-05-15,7.0,Vesak Day
2022-05-16,1.0,Vesak Day
2022-07-10,7.0,Hari Raya Haji
2022-08-09,2.0,National Day
2022-10-24,1.0,Deepavali
2022-12-25,7.0,Christmas Day
2022-12-26,1.0,Christmas Day (substitute day)
,,
2023-01-01,7.0,New Year's Day
2023-01-02,1.0,New Year's Day (substitute day)
2023-01-22,7.0,Chinese New Year
2023-01-23,1.0,Chinese New Year
2023-01-24,2.0,Chinese New Year (substitute day)
2023-04-07,5.0,Good Friday
2023-04-21,5.0,Hari Raya Puasa
2023-05-01,1.0,Labour Day
2023-05-05,5.0,Vesak Day
2023-06-28,3.0,Hari Raya Haji
2023-08-09,3.0,National Day
2023-11-13,1.0,Deepavali
2023-12-25,1.0,Christmas Day
